#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7385.325082984022    All      0.7396798991516464        -0.08614826679069765       0.5168838714999957         -0.24593324936379307       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.407165596179    All      -0.956983731492087        0.7864148287216821         0.22941801173801402        0.5781201393556603         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.303507086838    All      0.31333860817285286       0.3545692232745701         -0.697943423598435         -0.017715841671422927      
Zeropoint     AB|CNIa02|SDSS_r                      6090.111867906608    All      0.9084659105581983        -0.05142797700763424       -0.05295259017035203       -0.31503204964793835       
Check         All|All|All                           All                  All      1.0045006863906105        1.0034078081979203         -0.004594130530777285      -0.0005610013274940373     
Lambda        AB|CNIa02|SDSS_i                      7385.325082984022    All      -5.959854988596031e-05    -2.6717847617638192e-05    -0.00026420368520464825    -1.0798705552816605e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.407165596179    All      -0.0003226851478876961    4.800722739469457e-05      -0.0009363208470677449     7.89630030078533e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.303507086838    All      4.155572352941236e-07     -4.100887706291721e-05     -0.0007803361417841699     -4.8316119127896624e-05    
Lambda        AB|CNIa02|SDSS_r                      6090.111867906608    All      -6.495528283846983e-05    -1.1425347424796207e-05    -0.00012211228412668413    1.1987150647660549e-05     
MWEBV         All|All|All                           All                  All      -0.8347430119220323       -4.029499645492063         0.0930747905289353         -1.036483839500836         
Redshift      All|All|All                           All                  All      5.100944568642364         0.04579872573504673        3.4219696769167696         -1.493920520250723         
