#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4590.221602378201    All      -0.9450179180131912        1.0169837511588398        0.46055332633729346        0.6596408712964952        
Zeropoint     AB|PS|PS_i                7060.508240430436    All      1.070069655313901          -0.16390725243571325      0.9534366151591911         -0.35939937832990393      
Zeropoint     AB|PS|PS_z                8114.246780454971    All      0.2652182526326184         -0.08093152320789443      0.05101303806566373        -0.11047589238616186      
Zeropoint     AB|PS|PS_r                5829.269823618561    All      0.6073058150880786         0.2266937517871881        -1.4631352774328288        -0.18927087827660852      
Check         All|All|All               All                  All      0.9975758050214069         0.9988387273024202        0.0018677021293194151      0.0004947223038208881     
Lambda        AB|PS|PS_g                4590.221602378201    All      -9.110991868146388e-05     5.578877784587701e-06     -0.00047255467912346496    1.0406777011770972e-05    
Lambda        AB|PS|PS_i                7060.508240430436    All      -0.0007954659938900531     5.615316048562404e-05     -0.0012561861899838072     0.00022134255581364676    
Lambda        AB|PS|PS_z                8114.246780454971    All      3.9404219920544304e-05     4.099946605466954e-06     0.00013692925741234805     -5.389239429832464e-06    
Lambda        AB|PS|PS_r                5829.269823618561    All      -0.00012975834750201078    -4.939769172818411e-05    -0.00023469385908406144    1.570280035156686e-05     
MWEBV         All|All|All               All                  All      -0.6450390624555968        -3.848029625717597        0.07498114842580313        -1.0399733374357216       
Redshift      All|All|All               All                  All      6.636201538701096          0.35059701056150416       6.832326729300081          -1.7425328228747496       
