#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4590.221602378201    All      -0.8940919575685471        1.0032560341434404         0.5210960891311123         0.6412827869455864        
Zeropoint     AB|PS|PS_i                7060.508240430436    All      1.095426154401102          -0.1551852025533762        0.9603663024237097         -0.36450852557733876      
Zeropoint     AB|PS|PS_z                8114.246780454971    All      0.24507095935701878        -0.07255908194707672       0.0657847445948212         -0.1005268831578518       
Zeropoint     AB|PS|PS_r                5829.269823618561    All      0.5510396411752103         0.22350416229350856        -1.5449694440998973        -0.17563397157113608      
Check         All|All|All               All                  All      0.9974447973647839         0.9990159119364961         0.0022776920497458164      0.0006134066392597393     
Lambda        AB|PS|PS_g                4590.221602378201    All      -8.033427502171144e-05     -4.367929702851182e-05     -0.0007726474858184952     -2.25399764051903e-05     
Lambda        AB|PS|PS_i                7060.508240430436    All      -0.0008301798383432012     8.554622102491106e-05      -0.0010136609577250262     0.0002530470710618188     
Lambda        AB|PS|PS_z                8114.246780454971    All      -5.422722346131234e-05     1.5773492597110542e-05     -1.8128017992569928e-05    2.1992565991348796e-05    
Lambda        AB|PS|PS_r                5829.269823618561    All      -0.00016640628711224668    -3.1100995288890234e-06    -0.00011043361654412735    4.8262795477789e-05       
MWEBV         All|All|All               All                  All      -0.6436901357425318        -3.8447290392337408        0.09061763071429585        -1.0386398332519058       
Redshift      All|All|All               All                  All      6.573895654275269          0.019775174208280788       5.848944390461264          -1.8738811396005848       
