#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4147.445583073189    All      -2.9038482799971006       0.6466176878003438        -0.3286525704835084       1.1418373177984378        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4966.570186533008    All      3.897657642877637         0.3556122833337838        0.328407210010369         -1.1391053979714765       
Check         All|All|All                            All                  All      0.9938093628805363        1.0022299711341276        -0.0002453604731393888    0.0027319198269613043     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4147.445583073189    All      -0.001030022631452079     0.00015583801785900626    -0.0013609754961376131    0.00032553974147890303    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4966.570186533008    All      -0.0004906944685351948    -6.997492900195023e-05    -0.0007663538193116013    0.00010284334406760754    
MWEBV         All|All|All                            All                  All      -0.037278417030615074     -2.1476513982401357       0.0131709949162199        -0.6868301481778497       
Redshift      All|All|All                            All                  All      7.730686964557555         0.8379764387139943        3.6529744793352776        -2.0821671082002045       
