#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4147.445583073189    All      -2.855813127024075        0.6557068395810717        -0.005131583191575473     1.143588579709414         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4966.570186533008    All      3.849876852491828         0.3463253904040897        0.004367596068077795      -1.141027068868538        
Check         All|All|All                            All                  All      0.9940637254677527        1.0020322299851614        -0.0007639871234976781    0.00256151084087608       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4147.445583073189    All      -0.0010107799673009252    0.00014475787974350092    -0.0013554249348865083    0.00031591030324592       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4966.570186533008    All      -0.000631923388507584     -8.257189089753256e-05    -0.0007526684881758516    0.00014535371815308136    
MWEBV         All|All|All                            All                  All      -0.03774725510627874      -2.148009084874758        0.009026603229855823      -0.6869788876631887       
Redshift      All|All|All                            All                  All      7.95360431468509          0.8524433938823961        1.8370517112139106        -2.2311025525623416       
