#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5335.026808194932     All      0.5058576059865243         0.5213062404908264        -0.272073496415838        -0.007109262053637668      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4313.942258068307     All      -1.1538137226503595        0.7280012041945838        0.04786264174063172       0.6151049214213062         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7489.7950123861665    All      0.45457885289299305        -0.10574523930140245      0.3802034613454835        -0.16554925667428802       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6147.627472980357     All      1.1908338184437526         -0.14588551645440262      -0.1531335721102031       -0.44224711214242773       
Check         All|All|All                                All                   All      0.9974565546729103         0.9976766889296051        0.0028590345600741085     0.00019929055095280201     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5335.026808194932     All      1.549174294552482e-05      7.347637652032295e-05     -0.0010465648615913758    -2.7815880281179273e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4313.942258068307     All      -0.0005526553346533594     0.00018794699173347852    -0.0008838910269925417    0.00020179454582699015     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7489.7950123861665    All      -0.00019406676956842898    3.7285908300130374e-05    -0.0004140452358384733    5.6882241224328505e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6147.627472980357     All      -0.0003167267429575823     2.918796173034125e-05     -0.000536987645203587     8.871250726222546e-05      
MWEBV         All|All|All                                All                   All      -0.8663896373456774        -4.00703830005682         0.06409859333869415       -1.0201521678904697        
Redshift      All|All|All                                All                   All      6.798758689453788          -0.6432797511265242       5.260681052344467         -2.189356721957368         
