#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4252.182071591937     All      -0.36699866072479526      0.4824641719093137        -0.24715259068286421      0.2656687060946438        
Zeropoint     AB|DECam|DECam_z          6053.640000701268     All      1.1151492303075223        0.16181647348840755       1.0166220334201226        -0.26516467043666386      
Zeropoint     AB|DECam|DECam_g          3199.3562032654395    All      -0.3078745581099993       0.07958646708026151       -0.16586959757947106      0.11880680466510532       
Zeropoint     AB|DECam|DECam_i          5165.870109242728     All      0.5650726763890583        0.26969040769682096       -0.6070338330801284       -0.12330485466586806      
Check         All|All|All               All                   All      1.005348687861786         0.9935575201748037        -0.003433987922341064     -0.0039940143427827784    
Lambda        AB|DECam|DECam_r          4252.182071591937     All      -0.0005244814533820024    7.53315524767924e-05      -0.0016745975030677505    0.00012064923385619316    
Lambda        AB|DECam|DECam_z          6053.640000701268     All      -0.0002147078411882554    -6.845670243088284e-05    -0.0009123395872481537    6.925281858102764e-06     
Lambda        AB|DECam|DECam_g          3199.3562032654395    All      -0.001210584291475756     0.0003015494401547619     -0.0010849274378928989    0.00044413637545250516    
Lambda        AB|DECam|DECam_i          5165.870109242728     All      5.4175141457633424e-05    2.7555158552030964e-05    -0.0016511528005511392    -8.235437022185947e-05    
MWEBV         All|All|All               All                   All      -0.4649548825155396       -2.2595979917960918       -0.019177607097664584     -0.5854301112224536       
Redshift      All|All|All               All                   All      5.17859926571177          0.05617923238681044       2.493534593386859         -1.5572657309547102       
