#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          4252.182071591937     All      -0.22434622161901013       0.45571535329802515       0.1684154003715806         0.22903403412636542       
Zeropoint     AB|DECam|DECam_z          6053.640000701268     All      1.0605574688611188         0.14386276039122237       0.5091597109591602         -0.2758761654946226       
Zeropoint     AB|DECam|DECam_g          3199.3562032654395    All      -0.4568537281873445        0.14002819277756373       -0.046094225811758316      0.19236710489534117       
Zeropoint     AB|DECam|DECam_i          5165.870109242728     All      0.6108840526253092         0.2592732567556766        -0.6298499740532638        -0.14263851541202924      
Check         All|All|All               All                   All      0.9902415716800733         0.9988795632224878        0.0016309114657188095      0.002886458115054724      
Lambda        AB|DECam|DECam_r          4252.182071591937     All      -0.0002681992950205793     0.00011754989097863528    -0.000932569137011201      8.403492320152445e-05     
Lambda        AB|DECam|DECam_z          6053.640000701268     All      -0.00014503578505641648    -4.160163050904723e-05    -0.0006305413023110659     5.553744667997788e-06     
Lambda        AB|DECam|DECam_g          3199.3562032654395    All      -0.0012063508536499777     0.00033349689721629894    -0.00043490864301460664    0.0004821710966688194     
Lambda        AB|DECam|DECam_i          5165.870109242728     All      -8.910670623400719e-06     4.67397603730937e-06      -0.0021087604495969225     -8.967932734008742e-05    
MWEBV         All|All|All               All                   All      -0.4642375156919192        -2.263752954132414        -0.004569035647831325      -0.5863652756756509       
Redshift      All|All|All               All                   All      4.777869554601669          -0.09313493672173934      0.4455354573890567         -1.5667642129189279       
