#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4382.103688431276    All      -2.8381739023065586      0.939874180153133         -1.0721500251483995       1.1827894231317138        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5247.573499718428    All      3.831192870758885        0.057609229765986925      1.0332889342186125        -1.183069399675879        
Check         All|All|All                            All                  All      0.9930189684523263       0.9974834099191199        -0.03886109092978707      -0.000279976544165228     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4382.103688431276    All      -0.00141342913012802     0.00016763562222706072    -0.00277965235594525      0.00039096168716305584    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5247.573499718428    All      0.0018744817145704888    -8.319917678157994e-06    -0.0001428632110404197    -0.0006196657629189526    
MWEBV         All|All|All                            All                  All      -0.0914375236442373      -2.355609514942003        -0.006340238820445876     -0.737798242350543        
Redshift      All|All|All                            All                  All      0.19049301452564404      -0.7535614639172294       -3.231649529747882        -0.4517232781818675       
