#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4382.103688431276    All      -2.6155972973962767       0.940745213473626          -0.4299622037001892       1.139230517577517         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5247.573499718428    All      3.612553171368661         0.06122140308733037        0.42800283657317123       -1.1376857914237155       
Check         All|All|All                            All                  All      0.9969558739723844        1.0019666165609564         -0.001959367127017997     0.0015447261538015233     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4382.103688431276    All      -0.0006498829884059128    -1.469215593832686e-06     -0.00207156814737317      0.00011876512593549052    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5247.573499718428    All      0.0014140037372112274     -6.9426291901942285e-06    -0.0003786201782030237    -0.000479745058897471     
MWEBV         All|All|All                            All                  All      -0.08998063014365076      -2.3558933359103307        -0.004067142708448562     -0.7382638124813478       
Redshift      All|All|All                            All                  All      0.6408462396562105        -0.4080030274657531        -2.0740303230909953       -0.43419916006040066      
