#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5360.518390816902    All      0.38234663880810515        0.3262825921969359         0.3024744437701038         -0.004763859223017935      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.364396837389    All      0.1535860037724342         -0.03795914968938163       -0.0018294410702356168     -0.06247419768353033       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6359.780676622663    All      0.7757799816661841         -0.05850364653552376       0.2512025635302559         -0.2605436081426915        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.878659076919    All      -0.36825937059949915       0.2303177892106767         -0.15725073659372152       0.1879588954061355         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.830216738214    All      0.41081776115066176        -0.08868193148741099       -0.3001018015902094        -0.17609564803124803       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4349.051141228734    All      -0.7511639819089675        0.5446589341496555         -0.007832065719583208      0.42174264594626715        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.865227565276    All      0.15054421865114576        0.1264533887256114         -0.19457201307563946       -0.016530031178142328      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7863.789230659091    All      0.24327900393578447        -0.04561619664462668       0.10840269782458067        -0.0892651566705028        
Check         All|All|All                                      All                  All      0.9969302554758489         0.9969517799259364         0.000493647075551204       2.9040423269705018e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5360.518390816902    All      2.4792975063612713e-05     1.4735254898101504e-05     -0.00042236327821777584    -2.2124263609559122e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.364396837389    All      -3.6123223048386784e-06    1.849157978738535e-06      8.5319404210708e-06        2.1597251209328707e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6359.780676622663    All      -0.0002500946854602972     -6.900858043298192e-07     -0.0003688351994704186     6.47798623219935e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.878659076919    All      -0.00020831072372699228    9.891860544599038e-05      -0.0002555566286598284     8.86703814483994e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.830216738214    All      -8.98368449463839e-05      -2.5941512632412007e-06    -0.00015201956351914805    2.1633880612709907e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4349.051141228734    All      -0.0002686100736129912     9.34274552813956e-05       -0.00042311420652979927    9.904589009765613e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.865227565276    All      -1.0282662415472932e-06    2.1045771779542292e-05     -0.0005892363873670993     -1.9104673305603592e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7863.789230659091    All      9.769902436915656e-06      2.0448798403993293e-06     5.5131511827120445e-05     -5.6027842410691885e-08    
MWEBV         All|All|All                                      All                  All      -0.8381793801563631        -4.06030098629353          0.010809237244101627       -1.049068645157891         
Redshift      All|All|All                                      All                  All      3.5039566241873388         -0.1573841740968973        -1.2240812432010522        -1.2472442764178437        
