#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5360.518390816902    All      0.39443113599123053        0.32136138504688105      0.28116214588946864        -0.0112542465659584        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.364396837389    All      0.1598848648854985         -0.039859808730557944    -0.003521817200158317      -0.06522057412784305       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6359.780676622663    All      0.7712048648096964         -0.06023061631426074     0.18875794697245096        -0.26240248937743693       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.878659076919    All      -0.3541465515711883        0.2250664345884168       -0.12101389409748808       0.18326843083656327        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.830216738214    All      0.3858776047044577         -0.08097976155019282     -0.2541528199840659        -0.16341247641448453       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4349.051141228734    All      -0.7590295160671323        0.5551438210070536       0.03711712190986871        0.4297258575817062         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.865227565276    All      0.15974972003228338        0.12283622830757679      -0.2151733978264847        -0.021626139161868077      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7863.789230659091    All      0.23874114148820894        -0.0462835034732656      0.08747113217060232        -0.08893846900785082       
Check         All|All|All                                      All                  All      0.9967132642730548         0.9970541788816512       0.0006464178341936133      0.00013989376282765031     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5360.518390816902    All      1.9982557385314322e-05     8.466610997622688e-06    -0.0005058880367366516     -2.6326582221698016e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.364396837389    All      -6.043397103853738e-06     1.710184176573226e-06    1.2754719865433538e-06     2.582514965010881e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6359.780676622663    All      -0.00023386286523339659    6.061676244803504e-06    -0.0002776091978204174     6.576289295661333e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.878659076919    All      -0.00020760001317623582    9.587221460514212e-05    -0.0002906172986769293     8.588197324515917e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.830216738214    All      -8.990661930915472e-05     8.110054170478114e-07    -0.00012268400856855666    2.407489105938445e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4349.051141228734    All      -0.00028433006010675357    9.517240365123588e-05    -0.00045771374024352853    0.00010319077568228862     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.865227565276    All      -1.4993960852153264e-05    1.451638036018503e-05    -0.0006555710670653697     -1.9642636799875363e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7863.789230659091    All      8.693545316545042e-06      9.667001471205453e-07    4.313848346247885e-05      -5.918152882947541e-07     
MWEBV         All|All|All                                      All                  All      -0.8380080907677709        -4.059598460276259       0.017809044689531817       -1.0485832346534276        
Redshift      All|All|All                                      All                  All      3.801314075774761          -0.196402294506548       -0.2491360755547456        -1.3133055415740422        
