#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.846478747143    All      -0.9706796494665322       0.5601700384386454        -0.33183547257276125       0.48383981373378154        
Zeropoint     AB|CNIa02|SDSS_r                      6114.711671426449    All      1.3154574455671084        -0.36493778629376195      -0.3991340802154575        -0.5651715312216248        
Zeropoint     AB|CNIa02|SDSS_i                      7415.156644359597    All      0.6156947105095439        -0.22058765569124006      0.14323861214742273        -0.2660125981552401        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.121005337662    All      0.03417705313308006       1.0254852474147924        0.5857329125604327         0.34904026166204943        
Check         All|All|All                           All                  All      0.9946495597432001        1.0001298438684358        -0.001998028080363312      0.0016959460189661102      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.846478747143    All      -0.0005749978786691121    0.00027113610521136127    -0.00044026797186999723    0.0002559665380241967      
Lambda        AB|CNIa02|SDSS_r                      6114.711671426449    All      2.5372126887714867e-05    -4.285925093056151e-05    -0.00023165078457939523    -3.2562715083274764e-05    
Lambda        AB|CNIa02|SDSS_i                      7415.156644359597    All      5.840663232667798e-05     -5.934016201833147e-05    -0.00017943730306421273    -4.636146738267316e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.121005337662    All      -0.0001471282113799266    -7.008360288002072e-06    -0.0008765288780656073     6.526187230272409e-06      
MWEBV         All|All|All                           All                  All      -0.8680906735007805       -4.074585574381118        0.01884153149747103        -1.0436200687508743        
Redshift      All|All|All                           All                  All      6.59103739437521          -0.9491167768310049       2.141173125776974          -2.3605255547149087        
