#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.846478747143    All      -0.9921133506819111        0.6194333256765105        -0.27279070270892875       0.5127603746212699        
Zeropoint     AB|CNIa02|SDSS_r                      6114.711671426449    All      1.272126651102541          -0.305602208234923        -0.3950373032044891        -0.5315468957252375       
Zeropoint     AB|CNIa02|SDSS_i                      7415.156644359597    All      0.5520134269045849         -0.1925532698075827       0.08364128661372397        -0.23879734216484932      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.121005337662    All      0.16317000643364077        0.8780435854625068        0.5826637185625393         0.25885944901365926       
Check         All|All|All                           All                  All      0.9951967337588555         0.9993214330965117        -0.0015230007371546117     0.0012755857448423225     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.846478747143    All      -0.0005656648289135204     0.0002953278276455104     -0.00038208359137907345    0.0002634029982215302     
Lambda        AB|CNIa02|SDSS_r                      6114.711671426449    All      -2.3158106850465932e-05    -7.271924257196823e-05    -0.0005921804998623578     -4.256998833962388e-05    
Lambda        AB|CNIa02|SDSS_i                      7415.156644359597    All      1.4230537252584832e-05     -5.375884830694601e-05    -0.00027794376237437837    -3.454973322632596e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.121005337662    All      -0.00010833935665765044    1.1707268204062825e-05    -0.0007755008269585001     4.496094973419787e-06     
MWEBV         All|All|All                           All                  All      -0.8753009093157647        -4.070324461607555        0.010667653277648865       -1.0402482357631118       
Redshift      All|All|All                           All                  All      6.089094640517916          -0.7828325535667702       2.4052812985550767         -2.1310761095057464       
