#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3694.7936791943903    All      -2.032984384309483        0.2081992226393936         -0.3645234682726847        0.7137602253405598        
Zeropoint     AB|MEGACAMPSF|z           5209.953442812161     All      0.9979264662195203        0.13199750444243818        -0.17919996101716093       -0.2900584222919978       
Zeropoint     AB|MEGACAMPSF|i           4519.87833626089      All      2.036228986695088         0.6588685815845707         0.5435713059473842         -0.42439450690414504      
Check         All|All|All               All                   All      1.0011710686051252        0.9990653086664025         -0.00015212334246139658    -0.0006927038555830101    
Lambda        AB|MEGACAMPSF|r           3694.7936791943903    All      -0.0027083598992279053    0.00019089923591887907     -0.0023321917688279175     0.0008403090758362736     
Lambda        AB|MEGACAMPSF|z           5209.953442812161     All      0.00016270001980569384    2.2706279352135224e-05     -2.0936068682342448e-05    -4.653484751239073e-05    
Lambda        AB|MEGACAMPSF|i           4519.87833626089      All      -0.0005380538764216795    -0.00017108413379150232    -0.0016117133424764472     4.761075397749313e-05     
MWEBV         All|All|All               All                   All      -0.18939804452052122      -1.949167317006939         0.011956847506005687       -0.5726811675498681       
Redshift      All|All|All               All                   All      9.701150816095025         1.1481324269587034         3.0855868125734127         -2.648303907431193        
