#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3694.7936791943903    All      -2.0080935002822646       0.22210223743144297       -0.26269839657506733      0.7147251001247307         
Zeropoint     AB|MEGACAMPSF|z           5209.953442812161     All      1.1592489362108513        0.14864398140854718       -0.14430450746334422      -0.3356269290960204        
Zeropoint     AB|MEGACAMPSF|i           4519.87833626089      All      1.848959369900957         0.6282912405836782        0.4083087219906689        -0.3793908255389437        
Check         All|All|All               All                   All      1.0001148058295442        0.9990374594236684        0.001305817952257371      -0.0002926545102334144     
Lambda        AB|MEGACAMPSF|r           3694.7936791943903    All      -0.002697163171935855     0.00017315427222948802    -0.0024787873030764156    0.0008243399295256919      
Lambda        AB|MEGACAMPSF|z           5209.953442812161     All      0.00012734182549570326    1.9325909199457718e-05    -4.496026553313401e-05    -3.7190707711493454e-05    
Lambda        AB|MEGACAMPSF|i           4519.87833626089      All      -0.000414442600209048     -0.0001553476547344881    -0.0012680721428455057    2.780751202108326e-05      
MWEBV         All|All|All               All                   All      -0.18229962723148518      -1.9486584555346909       0.018013127032143195      -0.5745573387295773        
Redshift      All|All|All               All                   All      9.233250831882412         1.1176936195077758        1.8831698201168616        -2.5594667579865233        
