#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7229.1714595396315    All      0.06185178285684671        0.004080512793258606       0.09632515200981295        -0.01451945414926506       
Zeropoint     AB|SDSS|SDSS_r            5014.097480812689     All      0.7556867429880194         0.3994945578931208         -0.44496394997532995       -0.1358802105021234        
Zeropoint     AB|SDSS|SDSS_g            3837.2185093932803    All      -1.0906357856280002        0.5001496081080248         -0.18386751949326374       0.5099659751027518         
Zeropoint     AB|SDSS|SDSS_i            6080.469570471414     All      1.2711272638981153         0.09499051420380766        0.5351300083207722         -0.35922603861705604       
Check         All|All|All               All                   All      0.9980300041149813         0.9987151929982119         0.0026236908619914345      0.000340271834307293       
Lambda        AB|SDSS|SDSS_z            7229.1714595396315    All      -2.085988811827054e-05     -1.3056005258008526e-06    -2.5895564056679614e-05    5.213874695994978e-06      
Lambda        AB|SDSS|SDSS_r            5014.097480812689     All      -0.00036484747273866653    -0.00011891585705161174    -0.002532367415994174      -3.2899908893859004e-05    
Lambda        AB|SDSS|SDSS_g            3837.2185093932803    All      -0.0011627527157531863     0.00045894654588022227     -0.0008590557270425703     0.0004899050902373213      
Lambda        AB|SDSS|SDSS_i            6080.469570471414     All      -0.0003276123328384471     -3.755575227115641e-05     -0.0005543782825027147     6.974161428808429e-05      
MWEBV         All|All|All               All                   All      -0.567337787877221         -3.0994001598129373        0.08043955116858736        -0.821186369194013         
Redshift      All|All|All               All                   All      6.424860738562347          1.2710133990616157         12.617348404482476         -1.115723325109652         
