#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7229.1714595396315    All      0.08045991560147808        0.004521460248163578       0.11767657490464378        -0.019484288140514106     
Zeropoint     AB|SDSS|SDSS_r            5014.097480812689     All      0.7197834878590168         0.39374676485728344        -0.42120481696885775       -0.1249973234288166       
Zeropoint     AB|SDSS|SDSS_g            3837.2185093932803    All      -1.0529842388468853        0.521348742040395          0.048075153512070395       0.5149574191916724        
Zeropoint     AB|SDSS|SDSS_i            6080.469570471414     All      1.2504473310253688         0.07914052897515234        0.2582532838001899         -0.37000850233537147      
Check         All|All|All               All                   All      0.9977064956389783         0.9987574961209944         0.0028001952480463665      0.0004673052869701988     
Lambda        AB|SDSS|SDSS_z            7229.1714595396315    All      -2.0429022999742932e-05    -1.0410523316063139e-06    -2.7374764744557498e-05    5.09368986909845e-06      
Lambda        AB|SDSS|SDSS_r            5014.097480812689     All      -0.0003347844051874251     -0.00010942629384229252    -0.0024780648825231876     -3.717810343991666e-05    
Lambda        AB|SDSS|SDSS_g            3837.2185093932803    All      -0.0012821443282043927     0.0005678651103643564      -0.0005790322744710473     0.0005767693866339465     
Lambda        AB|SDSS|SDSS_i            6080.469570471414     All      -0.00019800297964657636    -2.609696462980217e-05     -0.0004236910513864112     3.70880589501094e-05      
MWEBV         All|All|All               All                   All      -0.5654757885587829        -3.1041201579530053        0.04795636417355834        -0.8247799177532393       
Redshift      All|All|All               All                   All      6.3369562019063785         1.0147699473220584         11.495496654852206         -1.2206199390454617       
