#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5037.21035385939      All      0.3922030631764133         0.38994339259552646        -0.9602291999018853       -0.04358666806757172      
Zeropoint     AB|SDSS|SDSS_z            7262.494888694441     All      0.10581716567278467        0.003381918976153031       0.1499776394689567        -0.026673716641493345     
Zeropoint     AB|SDSS|SDSS_i            6108.497968759325     All      1.4162005941682945         0.05537880683661456        0.3498580889221503        -0.4276518661724252       
Zeropoint     AB|SDSS|SDSS_g            3854.9064671163683    All      -0.9174695797394831        0.5503729825559134         0.4632738155004201        0.4987983957716463        
Check         All|All|All               All                   All      0.9967512432780093         0.9990771009642074         0.002880343989641876      0.0008861448901560376     
Lambda        AB|SDSS|SDSS_r            5037.21035385939      All      -0.0002374290211718475     -0.00012257689116415218    -0.0024305510950496483    -7.105321498830832e-05    
Lambda        AB|SDSS|SDSS_z            7262.494888694441     All      -3.504339476732842e-05     -2.365831803268846e-06     -7.349522516804704e-05    7.364402969393202e-06     
Lambda        AB|SDSS|SDSS_i            6108.497968759325     All      -0.00034558025843981453    -4.323687704004245e-05     -0.0006221713673533267    7.07185355284581e-05      
Lambda        AB|SDSS|SDSS_g            3854.9064671163683    All      -0.001117904869246708      0.0004393961070271771      -0.0012516133539913785    0.00045141040611630824    
MWEBV         All|All|All               All                   All      -0.5610252933677273        -3.121508539518203         0.10116958856691838       -0.8295188965852796       
Redshift      All|All|All               All                   All      6.32352391774662           1.2543052949945732         10.272804189416295        -1.1927832080788319       
