#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          4101.392788195553    All      -0.8223557679871129        0.6866436422786393        -0.0023522594984726197    0.4914257819916813        
Zeropoint     AB|DECam|DECam_z          7760.422367433522    All      0.3892694761667833         -0.015960922028313007     0.33547305180130493       -0.11702625084635751      
Zeropoint     AB|DECam|DECam_i          6622.351831027197    All      0.952151901615808          -0.0432122148911418       0.16593993326265988       -0.31681770216611255      
Zeropoint     AB|DECam|DECam_r          5451.055704495019    All      0.4779053320376657         0.37105106444528246       -0.4962085812795891       -0.056949460334751456     
Check         All|All|All               All                  All      0.9969709418331443         0.9985215698044669        0.00285214428590308       0.0006323686444597576     
Lambda        AB|DECam|DECam_g          4101.392788195553    All      -0.000781771998957745      0.00044547819308599166    -0.0008888066835619867    0.00036009240273477024    
Lambda        AB|DECam|DECam_z          7760.422367433522    All      -0.00012890540693926062    2.139917401580575e-05     2.217349829958016e-05     4.9948648280817215e-05    
Lambda        AB|DECam|DECam_i          6622.351831027197    All      -0.00048022463306764514    -2.068392311675937e-05    -0.0005776681927489486    0.0001239088493629576     
Lambda        AB|DECam|DECam_r          5451.055704495019    All      3.863464342247929e-05      6.069790883747668e-06     -0.0010085984942221756    -5.561656229549502e-05    
MWEBV         All|All|All               All                  All      -0.5122597689397681        -3.3239190060761814       0.09210513263879783       -0.9117396853305856       
Redshift      All|All|All               All                  All      8.094880141796018          -0.5897322761292401       5.150176057522016         -2.5990352762360724       
