#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          4101.392788195553    All      -0.7898582182775677        0.7142368612635508        0.10194416034561977       0.49448255032849137        
Zeropoint     AB|DECam|DECam_z          7760.422367433522    All      0.4284978286871459         -0.02959480335622544      0.2828050130097857        -0.13659555220229014       
Zeropoint     AB|DECam|DECam_i          6622.351831027197    All      0.9637289617235173         -0.05167287248735164      0.10250328337482488       -0.32617553237411007       
Zeropoint     AB|DECam|DECam_r          5451.055704495019    All      0.39399837468520443        0.36580259843717045       -0.48809960268138497      -0.03096593544475041       
Check         All|All|All               All                  All      0.9963669468182998         0.9987717838571442        -0.0008471459511545931    0.0007455303073407513      
Lambda        AB|DECam|DECam_g          4101.392788195553    All      -0.000847183723411371      0.0005716290225675246     -0.0006945831963539379    0.0004311579309701649      
Lambda        AB|DECam|DECam_z          7760.422367433522    All      -0.00015278212846113722    2.5519878892724658e-05    8.124393776310689e-06     5.844138413720406e-05      
Lambda        AB|DECam|DECam_i          6622.351831027197    All      -0.0004037278615214922     -1.748273971442436e-05    -0.000500927653373364     0.00010345864276707394     
Lambda        AB|DECam|DECam_r          5451.055704495019    All      7.760393795330953e-05      2.3524987322398087e-05    -0.0008511068502343558    -5.5596283098702996e-05    
MWEBV         All|All|All               All                  All      -0.5040547847646737        -3.3300115019475385       0.07072135026653076       -0.9173511049499512        
Redshift      All|All|All               All                  All      8.111780770398969          -1.115436245422785        3.9267614684758865        -2.8303748191011593        
