#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3148.9376978787886    All      -0.20589823768761845      0.044974784975160276      0.05028092964993042        0.08396140391687922        
Zeropoint     AB|MEGACAMPSF|i           4913.27283445116      All      1.1495363054503813        0.4814422753423031        0.1230557301314543         -0.2121287931856902        
Zeropoint     AB|MEGACAMPSF|z           5665.895837553084     All      1.1425549173213323        0.04554940144991804       0.03065216673933495        -0.3559629215075327        
Zeropoint     AB|MEGACAMPSF|r           4019.414614086442     All      -1.0936073895726568       0.42744679677113595       -0.18804916579803627       0.48706561909754464        
Check         All|All|All               All                   All      0.9925855955114381        0.9994132585385174        0.01593966072268338        0.0029353083212009246      
Lambda        AB|MEGACAMPSF|g           3148.9376978787886    All      -0.0007885673468193247    0.00014012010415672752    -0.00014315520693274815    0.0002961156962952006      
Lambda        AB|MEGACAMPSF|i           4913.27283445116      All      -0.0001448887163660331    -0.0002108948309899023    -0.002070199204167638      -0.00011388384547063051    
Lambda        AB|MEGACAMPSF|z           5665.895837553084     All      -9.935808990160768e-05    -4.067065230944979e-06    -3.72488706300847e-05      2.9377175698482442e-05     
Lambda        AB|MEGACAMPSF|r           4019.414614086442     All      -0.0008111792891516983    0.00025613349782839127    -0.0004915545196076652     0.00032572306768528976     
MWEBV         All|All|All               All                   All      -0.30472549379090985      -2.1922103335402454       0.16237221757590195        -0.6075699823913476        
Redshift      All|All|All               All                   All      3.6729805369481108        0.9678760438045941        5.511967575074073          -0.6351677313870908        
