#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3148.9376978787886    All      -0.24687887315952994       0.05398350774470373        0.06664246161010844       0.1009747225227422         
Zeropoint     AB|MEGACAMPSF|i           4913.27283445116      All      1.1610302810979025         0.4963424012473183         0.2265853547372512        -0.2063992463360198        
Zeropoint     AB|MEGACAMPSF|z           5665.895837553084     All      1.2226290304076552         0.04242346918346129        0.09617137338274384       -0.3801400922054587        
Zeropoint     AB|MEGACAMPSF|r           4019.414614086442     All      -1.14979599942103          0.40759603957472024        -0.38156795002662175      0.49026619864563625        
Check         All|All|All               All                   All      0.9869844389249978         1.0003454177502036         0.007831239703481707      0.004701582626899958       
Lambda        AB|MEGACAMPSF|g           3148.9376978787886    All      -0.0007431102480684431     0.00014672080639640034     3.922836449447943e-05     0.00029159783074937694     
Lambda        AB|MEGACAMPSF|i           4913.27283445116      All      -0.00016274457545312969    -0.00019728813858878793    -0.0019914591632485238    -0.00010012165097742869    
Lambda        AB|MEGACAMPSF|z           5665.895837553084     All      -8.925120046984288e-05     1.63492948658418e-06       7.398667512205383e-06     2.993477114188899e-05      
Lambda        AB|MEGACAMPSF|r           4019.414614086442     All      -0.0008001715296819186     0.0002675687687617438      -0.0003981129837146916    0.00033003218881913666     
MWEBV         All|All|All               All                   All      -0.2755450198658891        -2.204152677999538         0.08404738908883394       -0.6244603146021103        
Redshift      All|All|All               All                   All      3.5186240777899482         0.9214814055265919         5.158834120397256         -0.6157597386869487        
