#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6522.209632707601    All      0.1703813633931694         -0.05699406137047447       -0.7040896572544142       -0.10548394391123733       
Zeropoint     AB|MEGACAMPSF|g           3629.731549416996    All      -0.70349697561642          0.19671428530738666        -0.503997741449369        0.27073731933069806        
Zeropoint     AB|MEGACAMPSF|r           4630.688869915902    All      -0.2948873651625331        0.771828790540674          0.7582272984259286        0.3813007477483907         
Zeropoint     AB|MEGACAMPSF|i           5662.819098772294    All      1.817917847263855          0.08849910789923143        0.4468632820297913        -0.5433871236894274        
Check         All|All|All               All                  All      0.9899148698780712         1.0000481223768176         -0.0029968182480633043    0.0031669994784240263      
Lambda        AB|MEGACAMPSF|z           6522.209632707601    All      3.164326086035922e-06      -9.987168491421308e-06     -9.10185262231678e-05     -8.345613247567172e-06     
Lambda        AB|MEGACAMPSF|g           3629.731549416996    All      -0.0016343299598622872     0.00038848341706134077     -0.0016798369168446472    0.0005839334590605575      
Lambda        AB|MEGACAMPSF|r           4630.688869915902    All      -0.00029470279449533073    -0.00015225281377236058    -0.0014458975530698523    -1.8123121839609002e-05    
Lambda        AB|MEGACAMPSF|i           5662.819098772294    All      -0.0002678853904009399     -5.1288302984852804e-05    -0.0005361154937950851    4.6628425005263995e-05     
MWEBV         All|All|All               All                  All      -0.442913012738245         -2.7343298869245913        -0.01318454688035986      -0.746978227071321         
Redshift      All|All|All               All                  All      4.482998024446288          0.9458135884502283         6.605758777752935         -0.857392665616908         
