#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6080.021271638893    All      1.101563639950261          -0.08100828747688027      -0.10080544148896031       -0.38970106609483024       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5392.354184941113    All      0.22825712822500838        0.500982281827067         -0.7399929123070415        0.05581306990748991        
Zeropoint     AB|CNIa02|SDSS_i                      7373.088471352809    All      0.6350206112050114         -0.13032556500052195      0.6339772146153777         -0.22100693739518784       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4310.253731705918    All      -0.9688093976894764        0.7092391531213771        0.20012183771971337        0.555526137647705          
Check         All|All|All                           All                  All      0.9960319816908043         0.9988875824710419        -0.006699301460910689      0.0006312040651768047      
Lambda        AB|CNIa02|SDSS_r                      6080.021271638893    All      6.217012096863201e-05      -2.43258018644277e-05     -0.0003346422709540878     -4.3108115294387543e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5392.354184941113    All      -0.00017538649735275274    8.977945811099544e-05     -0.0015808707638118396     1.5826273883233276e-05     
Lambda        AB|CNIa02|SDSS_i                      7373.088471352809    All      -3.4648209030167047e-06    -2.031841537131987e-05    -0.00024005613894997375    -1.6202373128485203e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4310.253731705918    All      -0.0003477417175803467     0.00020001340385055537    -4.839487672072861e-05     0.00017626222257985743     
MWEBV         All|All|All                           All                  All      -0.8466495011350958        -4.034008801908051        0.09814215435512974        -1.0338481516698055        
Redshift      All|All|All                           All                  All      5.4472692229332225         -1.673861630464124        8.112221378486439          -1.9575754151611418        
