#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6080.021271638893    All      1.16029697872092           -0.10874024230060897       -0.08851801138372084       -0.4173173252707162        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5392.354184941113    All      0.36278827723199863        0.48460143346797935        -0.31954734503212334       0.025418622138951092       
Zeropoint     AB|CNIa02|SDSS_i                      7373.088471352809    All      0.5291882413637818         -0.11910645214969762       0.33482623763441677        -0.19622915275490696       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4310.253731705918    All      -1.0552225930294103        0.7414424162706545         0.07268774413263387        0.5884766222300443         
Check         All|All|All                           All                  All      0.9970509042872899         0.9981971552883273         -0.00055137464879354       0.0003487663433722199      
Lambda        AB|CNIa02|SDSS_r                      6080.021271638893    All      -0.00018577835017809756    -2.2276527018816383e-05    -0.0007331730057820941     2.053977894694927e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5392.354184941113    All      -0.0001347548073822339     6.69597563744004e-06       -0.0014289187576060206     -1.7690907743436772e-05    
Lambda        AB|CNIa02|SDSS_i                      7373.088471352809    All      -9.9833647675555e-05       -6.04358222316831e-06      -0.0005341189807811728     6.715232926829317e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4310.253731705918    All      -0.00023186879230911522    9.983111899389436e-05      -0.00017836200345248976    0.00010008609668730244     
MWEBV         All|All|All                           All                  All      -0.876512220504535         -4.026294071193615         0.04098796626909676        -1.0241584688306884        
Redshift      All|All|All                           All                  All      5.84462019923374           -0.7615885506387698        8.533285005482462          -1.771058209811535         
