#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_N2_V
@MAGSYS  Linear_AB11_off
57878.37  17.732  0.189
57882.34  16.608  0.014
57891.36  15.905  0.008
57896.36  15.975  0.008
57898.37  16.094  0.013
57903.35  16.457  0.013
57910.31  16.861  0.013
57924.36  17.722  0.025
57925.36  17.767  0.024
57928.36  17.881  0.027
57933.34  18.05  0.037
57959.32  18.754  0.067
57966.31  18.905  0.068
57983.33  19.483  0.251
57994.26  19.712  0.171
58004.25  19.744  0.262
58007.21  19.819  0.552
58009.22  19.783  0.157
58022.23  20.306  0.298
58033.18  20.345  0.264
58054.13  20.628  0.366
