#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4375.151892866022     All      -0.2537908355065974        0.15701642731253962        -0.07675736998480912       0.13038811176912646        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4325.904457043789     All      -0.2097206389913534        0.129366064141756          -0.05261291717452046       0.10810382198052121        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6365.965589017507     All      0.28508906815970114        -0.03844853794250369       -0.021334622184925173      -0.10633890858030605       
Zeropoint     AB|CNIa02|SDSS_r                      6171.566276853126     All      0.3148064741332024         -0.03753416655380981       -0.010217699689819924      -0.11522490734349106       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4712.0085809267675    All      -0.24830039546489419       0.25244492770455373        0.08285973555642566        0.16680687522497661        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6363.623064682522     All      0.23020881318931383        -0.033875893796952994      -0.03611833433856127       -0.08763287257024421       
Zeropoint     AB|PS|PS_r                            6208.433172462675     All      0.0030372250344340625      -0.0002906894218668299     -0.0089563197864087        -0.0014836906407292784     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5484.365816043395     All      0.24494000124554494        0.07405336609540569        0.11189926943160718        -0.050669848611729344      
Zeropoint     AB|PS|PS_z                            8642.035864802938     All      0.0004437912176120431      -7.285853396155062e-05     -2.6303657590198977e-05    -0.00016946363278939772    
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8222.967197298129     All      0.06072276985547093        -0.013630559971034018      0.005634572709766204       -0.023967880575005533      
Zeropoint     AB|PS|PS_g                            4888.791379958668     All      -0.00726543982161207       0.003921895032377165       -0.021769294665800146      0.0026726193761480834      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7537.462906984926     All      0.10842760995947065        -0.019531963157159993      0.039620420606130004       -0.03991256530735858       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5385.228299085322     All      0.1648424271446608         0.07735675938906894        -0.03235164120953728       -0.029940665342442503      
Zeropoint     AB|CNIa02|SDSS_i                      7484.102790612427     All      0.10497649994665698        -0.022052792241922248      0.008354933659006532       -0.04100477728902128       
Zeropoint     AB|PS|PS_i                            7519.757173827938     All      0.0022846443645741783      -0.00045875841871989564    -0.002234351916989307      -0.0009933254058376577     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4376.343387614913     All      -0.2706069258747451        0.19519765891220509        0.0317424271438524         0.15314439651650097        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6211.462030671463     All      0.334863558031011          -0.03098969709078858       0.06939435821170545        -0.11607368991752309       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5473.545198906819     All      0.21846198083854843        0.07563926437534896        0.03135000895730924        -0.04512305056548798       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7887.57601569683      All      0.08635983782706783        -0.018305601979307085      0.014054309183227705       -0.03346579786588688       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5339.511124666418     All      0.10828957115931996        0.06712593798621214        -0.015596207772557207      -0.014104336689885394      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4452.782178204876     All      -0.28163323975697885       0.1790980350321103         -0.11652230846723524       0.14487547834823386        
Check         All|All|All                           All                   All      0.9964367966904082         0.9960288168735509         0.00041266461027630874     -0.00011447712223106032    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4375.151892866022     All      -8.750834271671791e-05     3.619813691170299e-05      -0.00010439583468966838    3.5636563607796856e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4325.904457043789     All      -0.0001017146056657823     4.949446996397304e-05      -8.814000746923888e-05     4.532048684249825e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6365.965589017507     All      -8.21167653110847e-05      -6.8650433116158866e-06    -0.00018865685493083984    1.6093072597375814e-05     
Lambda        AB|CNIa02|SDSS_r                      6171.566276853126     All      -3.889553254359392e-05     -1.1720851101282426e-05    -0.00018129629375580552    7.612668396632351e-07      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4712.0085809267675    All      -2.7365207119938862e-05    -3.877902116517651e-05     -0.0002547000645187476     -1.5083948822249538e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6363.623064682522     All      -5.828970744554618e-05     3.308937173324277e-07      -8.52994982796996e-05      1.5288133517446177e-05     
Lambda        AB|PS|PS_r                            6208.433172462675     All      1.7230499988908718e-07     -1.28453207999005e-08      -5.470439937747151e-07     -8.472161167300446e-08     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5484.365816043395     All      -6.7039169582711405e-06    -1.4190137053322267e-05    -0.00024347639799717676    -1.3303741570248973e-05    
Lambda        AB|PS|PS_z                            8642.035864802938     All      -3.5511074288754563e-07    5.978170664598881e-08      5.1774311650921627e-08     1.3745457010739762e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8222.967197298129     All      -2.5898934107632834e-06    5.058930021009869e-09      -2.9081592603414453e-06    7.154835576930018e-07      
Lambda        AB|PS|PS_g                            4888.791379958668     All      -4.9911629918289456e-08    3.750117604791587e-08      -2.0654269579859752e-07    1.9256174801888427e-08     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7537.462906984926     All      -2.1698684979357382e-05    1.9042606407471316e-06     -2.589854989646479e-05     6.5325225681722605e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5385.228299085322     All      1.4928543018885347e-05     -2.4242103843829593e-06    -0.00040444440029835025    -2.3700858711447e-05       
Lambda        AB|CNIa02|SDSS_i                      7484.102790612427     All      -1.0955189106470569e-05    -2.9965240099095814e-06    -4.213844935699007e-05     7.119535943496248e-07      
Lambda        AB|PS|PS_i                            7519.757173827938     All      -6.944577297668678e-07     1.2718563456881604e-07     6.594999716783462e-07      2.970667297901034e-07      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4376.343387614913     All      -5.352547650187332e-05     2.1443292403229675e-05     -5.1643932610680786e-05    2.2115162911218154e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6211.462030671463     All      -7.580944499860705e-05     1.7153904446413634e-06     -8.619661998056056e-05     2.140583013221877e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5473.545198906819     All      3.128656421183273e-06      -1.7171419947304055e-05    -0.0002490460104835745     -1.772618234681988e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7887.57601569683      All      8.917357317477774e-06      8.579701228584528e-07      2.822950731120007e-05      -1.365454297389222e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5339.511124666418     All      3.735279807037463e-05      1.7930298882845603e-05     -0.00013697280696409279    -1.2439014248081348e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4452.782178204876     All      -0.00016587601855266187    6.36491501059146e-05       -0.00026069576637408135    6.313024386492747e-05      
MWEBV         All|All|All                           All                   All      -0.895194438527692         -4.106688434416528         0.006145110939282999       -1.0458150213974444        
Redshift      All|All|All                           All                   All      4.221656636367755          0.21364443084506135        -0.5778752299272392        -1.3313293524503993        
