#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4375.151892866022     All      -0.1823983136210418        0.11826514006418876        -0.09778537054203618       0.09357226642376926        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4325.904457043789     All      -0.21556058547944348       0.15165906541110274        -0.025329859556011414      0.1184851661665709         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6365.965589017507     All      0.33793370014564816        -0.07433296354371066       -0.03343484448465883       -0.13578085908265702       
Zeropoint     AB|CNIa02|SDSS_r                      6171.566276853126     All      0.2775152436489786         -0.05319714630172001       -0.03953635196358718       -0.10948823132563845       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4712.0085809267675    All      -0.29286617326284625       0.33860792521833716        0.12121756602851974        0.21110127199579498        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6363.623064682522     All      0.22498019332335253        -0.05304825328558138       -0.05731481177289055       -0.09312070873674916       
Zeropoint     AB|PS|PS_r                            6208.433172462675     All      0.0002554330349525013      -3.837133979445184e-05     -0.005268495348076385      -0.0003308105007926443     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5484.365816043395     All      0.2151159923360412         0.09629045755286114        0.11020560965087078        -0.03378741572019894       
Zeropoint     AB|PS|PS_z                            8642.035864802938     All      0.0002340757749758282      -1.114258552092906e-06     4.033208829135049e-05      -7.480929558045801e-05     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8222.967197298129     All      0.07989266142683091        -0.024790903477267534      0.005762435837985969       -0.03384173003071478       
Zeropoint     AB|PS|PS_g                            4888.791379958668     All      -0.002937699616966905      0.0011737057910465865      -0.011104774282078012      0.0008436649287846265      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7537.462906984926     All      0.1425588916753971         -0.03375276770078983       0.0760248117041229         -0.054037869763101654      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5385.228299085322     All      0.11546796778212502        0.09619570464005633        -0.1079531389085231        -0.011095062922650278      
Zeropoint     AB|CNIa02|SDSS_i                      7484.102790612427     All      0.11057658929611111        -0.03146612798374804       0.008545640671586696       -0.04588663339017973       
Zeropoint     AB|PS|PS_i                            7519.757173827938     All      0.0006877648930500469      -0.0001569136355072942     -0.001571277172351948      -0.0003452584694363381     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4376.343387614913     All      -0.3444801500391891        0.28382544080214345        0.09155704124952369        0.20874557182166686        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6211.462030671463     All      0.383432505757088          -0.05764108522043898       0.13071910158306554        -0.13783878633897295       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5473.545198906819     All      0.12789174995579353        0.05861040667642925        -0.07002021628150779       -0.025691893456003534      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7887.57601569683      All      0.13401637166657546        -0.03809706224089382       0.03346712037173294        -0.054569523914183016      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5339.511124666418     All      0.07337478119766425        0.08534520750167474        -0.061762578545243585      0.0011429814473329358      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4452.782178204876     All      -0.19172580669716738       0.13392924009814067        -0.06469336164669492       0.10318959486961266        
Check         All|All|All                           All                   All      0.9939651931979293         0.9973795847679767         0.0017645786820397191      0.0011909247066732576      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4375.151892866022     All      -0.00030887802348378117    0.00018811120324909315     -0.00020368773373960155    0.00015279609355392474     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4325.904457043789     All      -0.0003648813562655353     0.00024271143586997323     -0.00010364320387092582    0.00019328784143491585     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6365.965589017507     All      7.858005669866154e-05      -3.617766304345482e-05     -0.00018568266808289627    -4.5666529403737184e-05    
Lambda        AB|CNIa02|SDSS_r                      6171.566276853126     All      0.00023053826253946114     -5.2872656109091446e-05    -9.457504666648141e-05     -9.653671011135523e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4712.0085809267675    All      -0.0004168980236927303     0.0003767031740177089      -0.00015974188914684285    0.00025137347195352503     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6363.623064682522     All      5.5815531786975044e-05     -2.301788869987405e-05     -0.00010987613328028486    -3.058190578053685e-05     
Lambda        AB|PS|PS_r                            6208.433172462675     All      9.279424914503364e-07      -2.6797818789037084e-07    -6.745010201681115e-06     -6.90549536472645e-07      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5484.365816043395     All      0.00023348792629345155     7.276038582178598e-05      -0.00023576832986280571    -6.287550542764494e-05     
Lambda        AB|PS|PS_z                            8642.035864802938     All      -3.4213539691695556e-07    1.1274445456070198e-07     1.6862224475507264e-07     1.5569416905833957e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8222.967197298129     All      5.833886404403938e-06      -3.201359006013472e-06     -9.024918536270657e-06     -3.345817345239899e-06     
Lambda        AB|PS|PS_g                            4888.791379958668     All      -3.966398849955437e-06     1.5528438374874525e-06     -1.6354083327259243e-05    1.0679912936835095e-06     
