#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb            Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5471.87612876909    All      1.0063764355663904        0.9970059059509248        -0.00022803126442639944    -0.003062465765046316     
Check         All|All|All                           All                 All      1.0063764355663904        0.9970059059509248        -0.00022803126442639944    -0.003062465765046316     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5471.87612876909    All      0.00014177020395409994    -6.905190382788095e-05    0.00023592377398379014     -5.814350187172692e-05    
MWEBV         All|All|All                           All                 All      -4.206008642309928        -2.5648967889562613       0.04720667827383604        0.5366707388525022        
Redshift      All|All|All                           All                 All      1920.474968485475         -609.8636848195945        4.711375580966674          -824.0042979968981        
