#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb            Phase    dmu/dP                  dmB/dP                   ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5471.87612876909    All      1.043226229384433       0.9764376296819754       -0.0008613264344819668     -0.021793681245596552    
Check         All|All|All                           All                 All      1.043226229384433       0.9764376296819754       -0.0008613264344819668     -0.021793681245596552    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5471.87612876909    All      0.026809008286727973    -0.013109060250265649    -0.00012260952558564348    -0.01300809968794751     
MWEBV         All|All|All                           All                 All      0.5544585568454403      -4.923538680874362       -0.032866371814899153      -1.785830596305682       
Redshift      All|All|All                           All                 All      -103.22575394203787     45.592703997795155       -3.7018880680309563        48.309869470525335       
