#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6214.900163492989    All      0.7456850279524764         -0.009189996848490978      0.062033944441240954       -0.2431193401995171        
Zeropoint     AB|MEGACAMPSF|g           3450.213875554094    All      -0.42072772969783523       0.18582656836052536        0.16694543217659907        0.20502469780669533        
Zeropoint     AB|MEGACAMPSF|i           5392.260030444989    All      1.3550774671946135         0.3475566139037767         0.525069865848322          -0.30475123181420744       
Zeropoint     AB|MEGACAMPSF|r           4407.171022334847    All      -0.6878271498052322        0.47618373451534524        -0.7474332717125575        0.3458021257641554         
Check         All|All|All               All                  All      0.9922076156440225         1.0003769199311563         0.006615970753604539       0.002956251557126255       
Lambda        AB|MEGACAMPSF|z           6214.900163492989    All      -0.00019969416213237083    -2.3076160598199992e-05    -0.00026655984578209267    4.5634952007173984e-05     
Lambda        AB|MEGACAMPSF|g           3450.213875554094    All      -0.0005838522735507406     0.00023192399296338354     2.7573054324352685e-07     0.00026573747283340345     
Lambda        AB|MEGACAMPSF|i           5392.260030444989    All      0.0001472222669067418      -2.0282561165989623e-05    -0.0010971317982438633     -0.00010352178645998069    
Lambda        AB|MEGACAMPSF|r           4407.171022334847    All      -0.000317671612278943      -6.489400405504762e-05     -0.0015524449076004302     1.3059497030174733e-05     
MWEBV         All|All|All               All                  All      -0.42296396027514804       -2.5017019436170074        0.10657597440853839        -0.6723573533706482        
Redshift      All|All|All               All                  All      1.3035711949789084         0.2659459008825138         -2.1722976892463794        -0.434928364014055         
