#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|MEGACAMPSF|z           6214.900163492989    All      0.6761823022899933         -0.016483603342365427      -0.061606188717178156      -0.2283732747513395      
Zeropoint     AB|MEGACAMPSF|g           3450.213875554094    All      -0.4243167305513454        0.14249306585263355        -0.06933476127071181       0.18153450622472034      
Zeropoint     AB|MEGACAMPSF|i           5392.260030444989    All      1.3615427433330602         0.3015908443705584         0.39551134524387077        -0.32761135005345        
Zeropoint     AB|MEGACAMPSF|r           4407.171022334847    All      -0.6203170235234536        0.5734836817104849         -0.25168762992531235       0.3776285016072217       
Check         All|All|All               All                  All      0.9930912915482546         1.0010839885913114         0.012882765330668455       0.003178383027152565     
Lambda        AB|MEGACAMPSF|z           6214.900163492989    All      -0.00019925347833746907    -2.7254402737492783e-05    -0.00035728525260765196    4.008175765235438e-05    
Lambda        AB|MEGACAMPSF|g           3450.213875554094    All      -0.000940487122601506      0.000289601084962582       -0.00048296193197944903    0.0003791278250432911    
Lambda        AB|MEGACAMPSF|i           5392.260030444989    All      0.00023718152749751316     -1.00612229540136e-06      -0.0014949069487893885     -0.000144296384943668    
Lambda        AB|MEGACAMPSF|r           4407.171022334847    All      -0.00036780202972670913    1.4884900256937873e-05     -0.0013551415262915895     6.417998074322452e-05    
MWEBV         All|All|All               All                  All      -0.4159171906820567        -2.518884652698361         0.04395546757760549        -0.6830441573153656      
Redshift      All|All|All               All                  All      1.3409232122130743         -0.4257091142918057        -3.0183918478434935        -0.7101472344167553      
