#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7410.9671865363125    All      0.21345566179969258        -0.031311289151503274      0.04186427537713547        -0.07786043818388544       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.397352266863     All      -0.3440926351762706        0.2332619841048711         0.058434993745859476       0.1906710792913109         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7463.805861066862     All      0.23110872585285083        -0.04136015964331108       0.005248660000715943       -0.08851785637656803       
Zeropoint     AB|CNIa02|SDSS_g                      4676.859267380339     All      -0.2529098127100891        0.3015779709205191         0.17642969055398777        0.18848816001189073        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6150.762833918203     All      0.6056958111168319         -0.06371429840665854       -0.047732529753777286      -0.2201789791855889        
Zeropoint     AB|CNIa02|SDSS_r                      6111.256946478937     All      0.5851310850609651         -0.026612055904084997      0.10982616687771618        -0.19436382934944726       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4333.577203577569     All      -0.40318800005887717       0.20643770657695626        -0.19185640045388738       0.1900134787536322         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5420.0570192599425    All      0.29769588380906836        0.08744391950870067        0.06866189497571201        -0.06542191683670852       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4665.962233940435     All      -0.3300568205693297        0.258983955376646          -0.17099022243202178       0.18423945129406802        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5430.771895950014     All      0.41023164844612525        0.06689450714976175        -0.04341080367171318       -0.1137734271659245        
Check         All|All|All                           All                   All      1.0130715475709675         0.9916022405318969         0.006475725219727196       -0.006704277747220808      
Lambda        AB|CNIa02|SDSS_i                      7410.9671865363125    All      -3.047887460797441e-05     -1.2650962924206228e-05    -0.00011800437588898174    5.4114403484615e-07        
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.397352266863     All      -0.0001265180995588306     2.5691381388415033e-05     -0.00021365637224735835    4.004513288252689e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7463.805861066862     All      -4.335534460753543e-05     -8.226803996562305e-06     -0.00012404294746517336    5.907054334933019e-06      
Lambda        AB|CNIa02|SDSS_g                      4676.859267380339     All      1.2551315710094564e-05     -8.89917533232279e-05      -0.0004381093005390854     -5.262672417171896e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6150.762833918203     All      -0.00011336377903039688    1.1255969917110032e-05     -4.4523196177617066e-05    3.860588634240175e-05      
Lambda        AB|CNIa02|SDSS_r                      6111.256946478937     All      -1.9285960479373562e-05    -3.6518337175465166e-05    -0.00022118330549967668    -1.5483547084543097e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4333.577203577569     All      -0.0002591152382310867     8.97266573966221e-05       -0.0003137074059422142     9.962996124222327e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5420.0570192599425    All      7.233168117546642e-05      -1.9427648161353368e-05    -0.00017789871192128517    -3.78278348110866e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4665.962233940435     All      -0.00017442387750210092    2.1859477320308636e-05     -0.00045367143704544964    4.369067359843093e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5430.771895950014     All      6.953853812421447e-05      -1.8375050460416796e-05    -0.0004438648346960484     -4.8443997048205185e-05    
MWEBV         All|All|All                           All                   All      -0.8841885876917721        -4.056253653203168         0.009393521174057284       -1.0328267599708632        
Redshift      All|All|All                           All                   All      5.835717854103972          0.5861711504761224         3.9707903540332            -1.5327519300082415        
