#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7410.9671865363125    All      0.21995600149264494        -0.033794052801106034      0.03934087323499931        -0.08089913832591403       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.397352266863     All      -0.33910715835643623       0.22763529862324106        0.029789958972309936       0.18593605255989698        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7463.805861066862     All      0.21043105975415877        -0.035999085811777576      0.029670154712466916       -0.07894636298707765       
Zeropoint     AB|CNIa02|SDSS_g                      4676.859267380339     All      -0.2883553870513667        0.3336104733079992         0.11653784603740122        0.20779529161774915        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6150.762833918203     All      0.589816092676158          -0.05899340036830125       -0.00016960461993881451    -0.21134616575810777       
Zeropoint     AB|CNIa02|SDSS_r                      6111.256946478937     All      0.6197997407528257         -0.038809006361795184      0.06042860138509279        -0.21183388557813135       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4333.577203577569     All      -0.38891995525227985       0.19857294786129742        -0.19592951943970538       0.18262233190564747        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5420.0570192599425    All      0.283665521720809          0.08687084739804618        0.033480309409551136       -0.06260842733995255       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4665.962233940435     All      -0.30016808605143164       0.25048920663479635        -0.09001537957508682       0.17535022334998082        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5430.771895950014     All      0.3899208662728781         0.06675493324408421        -0.022830032675537928      -0.10628457573463929       
Check         All|All|All                           All                   All      0.99703869595796           0.9963381617264844         0.00030320744155238125     -0.00021465629054819024    
Lambda        AB|CNIa02|SDSS_i                      7410.9671865363125    All      -3.119781825386088e-05     -1.2690447807053864e-05    -0.00012241305081920294    5.657271936730342e-07      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.397352266863     All      -0.0001194198421945961     2.637174664756021e-05      -0.0002005061932223924     3.8541446374817116e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7463.805861066862     All      -1.5100118455098196e-05    -1.3915800375981645e-05    -0.0001277013421647657     -5.312953028487411e-06     
Lambda        AB|CNIa02|SDSS_g                      4676.859267380339     All      -7.324493281940221e-05     -4.154964476491766e-05     -0.00035573994801360804    -5.550841962012952e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6150.762833918203     All      -9.254195109172206e-05     1.717881293903988e-06      -7.407071808639634e-05     2.7398092510680696e-05     
Lambda        AB|CNIa02|SDSS_r                      6111.256946478937     All      -5.5423877339190495e-05    -1.9314096064015946e-05    -0.00019337131157975485    3.1328702243479257e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4333.577203577569     All      -0.0002558207729201296     9.731454959667923e-05      -0.00032254269792861745    0.00010063419312722745     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5420.0570192599425    All      5.0924956448211744e-05     -9.58858754207931e-06      -0.00015285430306255092    -2.653243762536174e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4665.962233940435     All      -0.00015352704625522717    2.711638796951888e-05      -0.0005104513028970043     3.606241228920405e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5430.771895950014     All      0.00011090576332855784     -2.7835976431790566e-05    -0.0004882901427189158     -6.698289554164166e-05     
MWEBV         All|All|All                           All                   All      -0.8809660237637482        -4.0570135370853855        0.006260579247587572       -1.0342637830503967        
Redshift      All|All|All                           All                   All      5.874360951996014          0.20413609592946358        3.5415101049343267         -1.6889374500620675        
