#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.283409411075    All      0.5029063095776907        0.5799144177195181         0.17014948655034168        0.03267706442971474       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.176965795209    All      -0.9620952618324256       0.7859679658400509         -0.10403470765947276       0.5647591116361983        
Zeropoint     AB|CNIa02|SDSS_i                      7414.011380406569    All      0.503366098414611         -0.0968967040333446        0.22953791575850424        -0.18528211986613696      
Zeropoint     AB|CNIa02|SDSS_r                      6113.767259973487    All      1.125605637393528         -0.16596713646306327       -0.25408338291605936       -0.43204631834400375      
Check         All|All|All                           All                  All      1.169782783553404         1.1030185430631612         0.041569311733313796       -0.01989226214422768      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.283409411075    All      8.749507167233732e-05     0.00023503007250536662     -0.0003388221634089126     3.293692652964439e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.176965795209    All      -0.0007098242585879408    0.0003839860152511947      -0.0007804186802749794     0.0003214634901112258     
Lambda        AB|CNIa02|SDSS_i                      7414.011380406569    All      0.00011766720032375107    -2.9904561174213296e-05    -0.0001995864235874126     -5.697560310405209e-05    
Lambda        AB|CNIa02|SDSS_r                      6113.767259973487    All      0.0003847316474753298     -4.712534721293839e-05     -0.00011284560631712503    -0.0001457058119718939    
MWEBV         All|All|All                           All                  All      -0.8242556878780052       -4.040888091799122         0.05447487122061112        -1.045332034711366        
Redshift      All|All|All                           All                  All      4.329193142913878         -2.528480839181757         2.9037046459203353         -2.104191024626889        
