#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.283409411075    All      0.5109108006173635         0.4537105016994225        0.10544286257249738        -0.013926588516452372      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.176965795209    All      -1.123608888587139         0.7818759676266218        -0.11213794923690848       0.6156749046150829         
Zeropoint     AB|CNIa02|SDSS_i                      7414.011380406569    All      0.4487881675666849         -0.10727225753450753      0.12435979581911918        -0.1755775677765385        
Zeropoint     AB|CNIa02|SDSS_r                      6113.767259973487    All      1.161309097929663          -0.12993825188889474      -0.11762112156772576       -0.425850633053204         
Check         All|All|All                           All                  All      0.9973991775265723         0.998375959902642         4.358758698232157e-05      0.00032011526888808817     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.283409411075    All      4.994465383892198e-05      2.869368378777426e-05     -0.0005553330583159514     -3.170410392196517e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.176965795209    All      -0.000428348863750628      0.0001647011016970734     -0.0005877264553389043     0.00016694835213885067     
Lambda        AB|CNIa02|SDSS_i                      7414.011380406569    All      -5.421642838577511e-05     7.313801182582286e-07     -0.00041450930566883326    -5.9933758065043e-07       
Lambda        AB|CNIa02|SDSS_r                      6113.767259973487    All      -0.00011219369664010074    -7.231926980326568e-06    -0.0008062038925113258     -1.7876754443900565e-06    
MWEBV         All|All|All                           All                  All      -0.8965865128095309        -4.052950980368397        0.01125558121556844        -1.0276294634958743        
Redshift      All|All|All                           All                  All      5.405051093110592          -0.9518268868442981       3.577586793860425          -1.9109930257967467        
