#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4527.998018279367     All      0.7208614082789637         0.48132601984640644        0.1552750631387091        -0.0710953435773792        
Zeropoint     AB|SDSS|SDSS_z            6528.328212177421     All      0.1605097372337109         0.0312154861624947         0.16879404720618438       -0.03458288814461529       
Zeropoint     AB|SDSS|SDSS_g            3465.2134053487803    All      -0.987283886505078         0.22527364719859833        -0.24466586573220925      0.38405156680728464        
Zeropoint     AB|SDSS|SDSS_i            5490.98901061654      All      1.1030087023456376         0.26101829813409694        -0.07324082593579999      -0.27753237699177374       
Check         All|All|All               All                   All      0.9970959613532341         0.9988334513415964         0.00616241867688426       0.0008409580935164196      
Lambda        AB|SDSS|SDSS_r            4527.998018279367     All      -0.00035663424647601336    -0.00017913493057187104    -0.001480233642557323     -8.238662256094778e-06     
Lambda        AB|SDSS|SDSS_z            6528.328212177421     All      -4.2971513454921686e-05    -8.754403467362042e-06     -4.757555340121646e-05    9.022559990746903e-06      
Lambda        AB|SDSS|SDSS_g            3465.2134053487803    All      -0.0016134405636882962     0.00020615045590845972     -0.002461451543990836     0.00048285738047883106     
Lambda        AB|SDSS|SDSS_i            5490.98901061654      All      8.396726566709441e-05      2.5724595457544827e-05     0.0001863650046469655     -1.0654939600298145e-05    
MWEBV         All|All|All               All                   All      -0.6544167736770012        -2.638348937165169         0.14331936371248688       -0.6398362901171197        
Redshift      All|All|All               All                   All      6.539845721597948          0.8628343426742902         5.13721322029685          -1.619939142587293         
