#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4527.998018279367     All      0.8916078080891938        0.48037714055642056       -0.5167725969834946       -0.15701254505521567      
Zeropoint     AB|SDSS|SDSS_z            6528.328212177421     All      0.048926373962500984      0.012415147517153002      0.08903480743223113       -0.00791969310330043      
Zeropoint     AB|SDSS|SDSS_g            3465.2134053487803    All      -0.9001842322365008       0.23858510723364645       0.6507489620499823        0.3999745756583045        
Zeropoint     AB|SDSS|SDSS_i            5490.98901061654      All      0.957937494900783         0.267284185806993         -0.22085619741251672      -0.23482430232550644      
Check         All|All|All               All                   All      0.998287444715977         0.998661581114213         0.0021549750862021044     0.00021803517428198305    
Lambda        AB|SDSS|SDSS_r            4527.998018279367     All      -0.0007620667451817142    -0.000344606564018019     -0.0030464215869584945    3.271131934250363e-08     
Lambda        AB|SDSS|SDSS_z            6528.328212177421     All      -2.945981254150422e-05    -5.223215003243479e-06    0.00010823724953694247    1.2724788509713963e-05    
Lambda        AB|SDSS|SDSS_g            3465.2134053487803    All      -0.0014307406692152286    -1.783410927643429e-05    -0.004525084051473009     0.00025829643155928075    
Lambda        AB|SDSS|SDSS_i            5490.98901061654      All      -3.232539220819196e-05    2.218553555227697e-06     0.0003471707610647204     2.6744736165891325e-05    
MWEBV         All|All|All               All                   All      -0.7143665328195596       -2.6235212934908603       0.2809262044010441        -0.6093380686216149       
Redshift      All|All|All               All                   All      7.190434428536035         1.8934963051124853        10.184980656019798        -1.2708781021331716       
