#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4757.150058335712    All      -0.9999932255338895       1.1445824353093492         0.023037845875861773      0.6995869204326488         
Zeropoint     AB|PS|PS_i                7317.271386296792    All      0.8860964364178543        -0.12102255703441145       0.8586805121977958        -0.28973282191568983       
Zeropoint     AB|PS|PS_z                8409.330287015478    All      0.28621108180295873       -0.12703744741484613       -0.15770027187340663      -0.1416460802815836        
Zeropoint     AB|PS|PS_r                6041.257630593329    All      0.8255355634657622        0.1020899474956316         -0.7252103885594607       -0.2680128466458556        
Check         All|All|All               All                  All      0.9978498561526858        0.9986123783557233         -0.0011923023592097515    0.00019517158951976032     
Lambda        AB|PS|PS_g                4757.150058335712    All      7.020400333213308e-05     -0.00014359486277406804    -0.0002596135139738977    -8.122668323147399e-05     
Lambda        AB|PS|PS_i                7317.271386296792    All      -0.0004563578886247165    -7.857236534006058e-05     -0.0016827068530864662    4.7965695248146596e-05     
Lambda        AB|PS|PS_z                8409.330287015478    All      0.00015939561840281938    -0.00010157013874197356    -0.0005081669995918743    -0.00010768229188562859    
Lambda        AB|PS|PS_r                6041.257630593329    All      -0.0002157683873682975    -3.099815239475385e-05     -0.0007120520138777082    2.8410133248305416e-05     
MWEBV         All|All|All               All                  All      -0.6775932607789166       -4.044489013482977         -0.013778877216386043     -1.0973236022419237        
Redshift      All|All|All               All                  All      4.332485373609666         1.3973031334317376         3.5446511571144756        -0.7979039191052917        
