#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4757.150058335712    All      -0.982479813458345         1.1494389275150674         0.08479970060110238        0.6982202931451998        
Zeropoint     AB|PS|PS_i                7317.271386296792    All      0.8525509077562065         -0.13783598105687744       0.6064302434938826         -0.29553939591349254      
Zeropoint     AB|PS|PS_z                8409.330287015478    All      0.2956417220729929         -0.12763786373888308       -0.15887867411577203       -0.1449661121061032       
Zeropoint     AB|PS|PS_r                6041.257630593329    All      0.8321968999810198         0.11469064360740688        -0.5327283857405403        -0.25748861407819773      
Check         All|All|All               All                  All      0.9979097163518744         0.9986557263267137         -0.00037711576132726243    0.00022617104740635385    
Lambda        AB|PS|PS_g                4757.150058335712    All      6.724318775416837e-05      -0.00012773752866465372    -0.00021802346748487248    -7.324102002092822e-05    
Lambda        AB|PS|PS_i                7317.271386296792    All      -0.0004322013674537882     -6.984127154883229e-05     -0.0015872805699104731     4.719956281016974e-05     
Lambda        AB|PS|PS_z                8409.330287015478    All      0.00013873100460113489     -8.644322793750174e-05     -0.0004604187111824788     -9.389302800346457e-05    
Lambda        AB|PS|PS_r                6041.257630593329    All      -0.00011470252170250993    -3.2613746436416685e-05    -0.0004958749233571129     4.610394386374195e-06     
MWEBV         All|All|All               All                  All      -0.6766377341602099        -4.044385398493677         -0.015145509791562387      -1.0976620844217952       
Redshift      All|All|All               All                  All      3.803214198089507          1.2844287264432985         1.9839091329681204         -0.7319185408565395       
