#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     VEGAHST|ACSWF|F775W       5688.565112817735    All      -2.491019812899323        3.062157664234988        -0.259793844421463        1.7972591923285246       
Zeropoint     VEGAHST|ACSWF|F850LP      6681.601710771517    All      3.4886182591688133        -2.0578666252831113      0.2608894829242646        -1.7950303013978177      
Check         All|All|All               All                  All      0.9975984462694903        1.0042910389518767       0.001095638502801588      0.002228890930706884     
Lambda        VEGAHST|ACSWF|F775W       5688.565112817735    All      -0.0003077262470695735    7.036844923379932e-05    -0.0012427204916338496    6.770097359919719e-05    
Lambda        VEGAHST|ACSWF|F850LP      6681.601710771517    All      -0.0009711481509431316    0.0003883821730065674    -0.0009873979329831078    0.0003987807189351835    
MWEBV         All|All|All               All                  All      -0.37013922276951394      -2.7506615338616314      -0.007211150516325723     -0.7757362341084215      
Redshift      All|All|All               All                  All      3.8938590696967506        0.8491302596425498       6.754075116779965         -0.6903649899203079      
