#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      3.6814293347334432        -0.0038959048703546273     0.7269670425142039        -1.1679904738694957       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -2.6895218081618935       1.0057458337737302         -0.7451034625318265       1.1704196962764701        
Check         All|All|All                            All                   All      0.9919075265715498        1.0018499289033755         -0.018136420017622612     0.0024292224069744073     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      0.0013860009701388177     -1.7451273710237112e-05    -0.0014414196423833763    -0.0005214745064676148    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -0.0006098475385715822    0.00021411401771336935     -0.0008137424970793784    0.00023207779615149078    
MWEBV         All|All|All                            All                   All      -0.09501787831593944      -2.3713684599746543        0.004003228442872597      -0.741303628456691        
Redshift      All|All|All                            All                   All      4.250344711376486         -1.3456924820117067        14.494251088896615        -1.176001561631712        
