#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      3.5230918294082265        0.041540541977447276       0.2526326138395787        -1.1227819606953606        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -2.5262180733555186       0.9604268538192073         -0.2541889592441959       1.124371674188362          
Check         All|All|All                            All                   All      0.9968737560527078        1.0019673957966546         -0.0015563454046171876    0.00158971349300141        
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      0.0010397115687342366     1.7769053597921737e-05     0.00042358482397406705    -0.0003139776528507712     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -0.0001275511827338367    -1.8111973013929563e-05    -0.001261701921638626     -2.0656010926574807e-05    
MWEBV         All|All|All                            All                   All      -0.09534603704913458      -2.3702789289979265        0.0018499675711891198     -0.7409379304206968        
Redshift      All|All|All                            All                   All      1.1571487329665993        -0.49510736325490967       -4.54313656033762         -0.740933486966698         
