#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6450.224486311614    All      1.493722486376372         -0.522439904236327        -1.9450947829734992       -0.7435310670619116       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4321.930104937978    All      -0.4996284955610384       0.4631205322680909        0.6161446419444053        0.3410947373861606        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7738.25705196971     All      0.8383208082031781        -0.08693867993101456      3.493331223796523         -0.1454961271902505       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5306.361802028873    All      -0.8798208634548594       1.1662592504041225        -2.016158682530572        0.5765037050007471        
Check         All|All|All                                      All                  All      0.9525939355636525        1.0200011985048718        0.14822240023685707       0.02857124813474554       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6450.224486311614    All      -2.32045813239986e-05     0.00016719880895090493    0.0002398521714522588     7.272414910875016e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4321.930104937978    All      -0.000540304353782549     0.0005615019660507352     0.0013164138136360349     0.0004176400691535574     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7738.25705196971     All      -3.436718511742148e-05    3.692033502981849e-05     0.00021063812175967537    3.2620502549939904e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5306.361802028873    All      -0.0008515579885048166    0.0009755022734986162     -0.0037647023904938018    0.00042713225879667164    
MWEBV         All|All|All                                      All                  All      -0.7399188212903347       -4.042428047569757        0.4194748039796664        -1.0570166704020223       
Redshift      All|All|All                                      All                  All      5.513903973415683         -6.451797099566292        -3.7017604223669704       -4.062815065422232        
