#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6450.224486311614    All      1.421812062687545          -0.26678867339073875      -0.08021711663250729       -0.5536125345462337       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4321.930104937978    All      -0.9264577379169332        0.7404200010348916        1.3980472282563865         0.6053453450237621        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7738.25705196971     All      0.4389193163876587         -0.04087127750214137      1.661459990079747          -0.08214025252406341      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5306.361802028873    All      0.06466017951532865        0.574352083275631         -2.9032137604652646        0.036466325269238146      
Check         All|All|All                                      All                  All      0.9989338206735994         1.0071121334176425        0.07607634123836204        0.0060588832227031555     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6450.224486311614    All      -0.00039062813981796196    0.00020627168026719008    -0.00024200595309348434    0.0001836302946291025     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4321.930104937978    All      -0.0005572350595233754     0.0001959230542456443     -0.00148866420659881       0.00017889612946742108    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7738.25705196971     All      -7.322621313266338e-05     1.0067486555622993e-05    -0.0002671061166508305     1.5211779057694656e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5306.361802028873    All      -4.476786167722106e-05     0.00014540546189067337    -0.003065058272452227      -7.48337653935051e-05     
MWEBV         All|All|All                                      All                  All      -0.8122765958226039        -3.993165301189272        0.3819840923406051         -1.0190739038162884       
Redshift      All|All|All                                      All                  All      6.228193582192096          -1.355334893419169        8.925995862694943          -2.0718785154469246       
