#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4536.435055522492     All      0.8067851104195517        0.5733925812284824        1.504182615675535          -0.008898863466944943     
Zeropoint     AB|SDSS|SDSS_i            5501.220392917756     All      1.1186425380726144        0.20848400315642834       -0.8358006225820882        -0.33376652124102024      
Zeropoint     AB|SDSS|SDSS_g            3471.6701516720514    All      -1.054353487871083        0.20338068209682092       -0.6750710394354867        0.37956007738281505       
Zeropoint     AB|SDSS|SDSS_z            6540.492472859322     All      0.1247476291628249        0.013357244297651505      0.01212672903959688        -0.03574235276441323      
Check         All|All|All               All                   All      0.9958217897839079        0.9986145107793831        0.005437682697556841       0.0011523399104366172     
Lambda        AB|SDSS|SDSS_r            4536.435055522492     All      -0.0003902194071780612    -0.0002589572909793487    -0.0025237656254643477     -6.986767898693916e-05    
Lambda        AB|SDSS|SDSS_i            5501.220392917756     All      0.00012231971624778896    6.312004626183121e-07     -0.0004916935442916132     -6.157997763945331e-05    
Lambda        AB|SDSS|SDSS_g            3471.6701516720514    All      -0.001996738604328968     0.00027122404075074824    -0.00237542559157879       0.0006327457130402026     
Lambda        AB|SDSS|SDSS_z            6540.492472859322     All      -3.787100524533237e-05    -4.242397079572978e-06    -2.4596954195197187e-05    9.856294931927486e-06     
MWEBV         All|All|All               All                   All      -0.6406988904339763       -2.667073914243012        -0.10538874246277095       -0.6647600265558422       
Redshift      All|All|All               All                   All      7.6352224426039825        1.2512239023209304        12.44767008419267          -1.523996006107054        
