#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4536.435055522492     All      1.1792854871872676         0.6156180110949094         0.8216491386844771         -0.14693861371093964      
Zeropoint     AB|SDSS|SDSS_i            5501.220392917756     All      0.8530531169525302         0.2565558587210859         0.4804525000009052         -0.1728583927463584       
Zeropoint     AB|SDSS|SDSS_g            3471.6701516720514    All      -1.0872632949910275        0.115509332381869          -1.2987976862346207        0.3338232392048057        
Zeropoint     AB|SDSS|SDSS_z            6540.492472859322     All      0.054923874393946644       0.011028729771567214       0.0006127803046540592      -0.01427074714027421      
Check         All|All|All               All                   All      0.9999991835427167         0.9987119319694315         0.003916732755415708       -0.000244514392766515     
Lambda        AB|SDSS|SDSS_r            4536.435055522492     All      -0.0007419847747657822     -0.00034467342139337596    -0.0024509700632295225     2.0041841925068958e-05    
Lambda        AB|SDSS|SDSS_i            5501.220392917756     All      0.00014636871890357108     4.293975506719503e-05      0.0006376407008783484      -5.235240330958412e-06    
Lambda        AB|SDSS|SDSS_g            3471.6701516720514    All      -0.001640249865414372      -0.00011278157520405368    -0.0057715325507630795     0.00023998968428526915    
Lambda        AB|SDSS|SDSS_z            6540.492472859322     All      -2.6520854464145594e-05    -7.863537902726134e-06     -2.9815558471124274e-05    4.7467703748779915e-06    
MWEBV         All|All|All               All                   All      -0.742555203157724         -2.632792021740471         0.0990237787763748         -0.6112933423095712       
Redshift      All|All|All               All                   All      8.337010031964631          2.3015980957325155         18.42510899181773          -1.1437042359456306       
