#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7184.959890129265     All      0.8799287249270377         -0.25091987504524127      1.883159386894866         -0.28431783842595515      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5117.890885698993     All      -0.27875830451002603       0.8599333585085134        -0.8190961072522498       0.33435683919380493       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4138.364540190483     All      -0.7681375745274864        0.4303654167470583        0.7623999007751122        0.42441425983085834       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5897.4186529503395    All      1.1618830544563952         -0.04270449938736931      -1.8284819645993675       -0.47397054820647494      
Check         All|All|All                                All                   All      0.9949159003459207         0.9966744008229611        -0.002018784181639255     0.0004827123922331866     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7184.959890129265     All      -0.0005032494476805361     0.00018283845372960752    -0.0014029267190811927    0.00016087522504756359    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5117.890885698993     All      -0.00022728685489698845    0.00017188647084115423    -0.0021072261176748076    3.598806111292965e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4138.364540190483     All      -0.0005022671740765071     0.00021632305377746274    0.00033912034906835153    0.0002492018617838222     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5897.4186529503395    All      -0.00031560809736140333    0.00015177179343001552    -0.0013860700281018564    9.038706740764317e-05     
MWEBV         All|All|All                                All                   All      -0.7619965503211419        -3.8105904349164277       0.19539067150664574       -0.9843079356999594       
Redshift      All|All|All                                All                   All      9.021001307588527          -1.821624374120212        25.824733769724165        -2.379360636891377        
