#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4350.618946058485    All      -2.639021471411496        0.9657985752596687        0.34002789320398685       1.1893823674397757        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5209.870489596348    All      3.6360226495251067        0.038011010831340286      -0.31520238741882256      -1.1860567966677997       
Check         All|All|All                            All                  All      0.9970011781136104        1.003809586091009         0.024825505785164292      0.0033255707719759275     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4350.618946058485    All      -0.0009230226616883216    0.00012217470116069647    -0.000895917763062425     0.0003004744720877739     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5209.870489596348    All      0.0018171722080835872     3.2589998706662056e-06    -0.0005704145523377944    -0.0006163061895385013    
MWEBV         All|All|All                            All                  All      -0.07478246184443371      -2.328406620919843        0.007125922795486739      -0.7337615334372729       
Redshift      All|All|All                            All                  All      0.6285352967043557        -0.5413992606808193       -1.521744537122549        -0.4489946446159493       
