#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4337.5743539853165    All      -0.304107748755117         0.16852451768318844        -0.1825298327216154        0.14580641021349972        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5353.91540593563      All      0.04258667712998834        0.12101750018225221        -0.4028827711030944        0.007568691664866429       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6380.790070120806     All      0.3706030920666198         -0.09839230309413027       -0.2686519555992761        -0.1647559325986485        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8245.150114350254     All      0.15457238914394372        -0.04628294306441294       -0.011406896653313707      -0.06593422705207187       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6383.138913831969     All      0.8419117342584819         -0.10008044012416173       0.18551839225105962        -0.2985590080274425        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5399.755910566567     All      0.43197593938511997        0.3678397448238946         0.5051835964376168         0.0016527550979570469      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7908.854155363498     All      0.27421223812118023        -0.05613487713720389       0.11542748448261989        -0.10245392504373459       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4464.794350373428     All      -0.814358580776799         0.640577111046603          0.06087086497889838        0.47663680792361923        
Check         All|All|All                       All                   All      0.9973957405734181         0.9970683103160294         0.0015288820728949562      -3.842782195506711e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4337.5743539853165    All      -0.00016184101190205968    8.543838478487079e-05      -0.00011205439873461337    7.554656158315584e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5353.91540593563      All      4.894824193627556e-05      7.69882458521175e-05       -0.00030717000612899147    -4.574034828609084e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6380.790070120806     All      -2.4533044360710953e-05    2.4783488174961106e-06     -7.60941626866796e-06      8.458926107296271e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8245.150114350254     All      -4.890179605924677e-06     -1.5386228010518877e-07    -7.819413084219743e-06     1.193829880547682e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6383.138913831969     All      -0.00027109076419866386    -3.970836613982224e-05     -0.0005452086772403511     5.103870009019984e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5399.755910566567     All      -2.724676311146935e-05     -3.7095706224403766e-06    -0.0006786543372787835     -2.2618388181812496e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7908.854155363498     All      1.62431918492396e-05       9.506428292926923e-06      8.223034995208503e-05      1.4751773247957557e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4464.794350373428     All      -0.00033447694203168535    0.00012040085614797195     -0.00047026616240695973    0.00012718284492830743     
MWEBV         All|All|All                       All                   All      -0.8477159197758342        -4.138165639439039         0.014101784957660115       -1.071178428379155         
Redshift      All|All|All                       All                   All      3.6577722568017483         -0.6262465628926295        -2.4069043332509947        -1.5028549554885227        
