#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4337.5743539853165    All      -0.3305051189617228        0.18153941938505724       -0.2092045669992465        0.15745391292113461        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5353.91540593563      All      -0.002093181677284228      0.12252148391302953       -0.5137317989188289        0.017665605582551855       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6380.790070120806     All      0.3578023543928066         -0.12396902111140307      -0.3944880937763767        -0.17453297861614764       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8245.150114350254     All      0.18749623840782764        -0.06221485051467468      -0.03016999289965905       -0.08268546513021356       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6383.138913831969     All      0.8654726472601333         -0.0893479721733037       0.2993407423872968         -0.29765828590435744       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5399.755910566567     All      0.37050560830088464        0.3917881964767833        0.5649952416195286         0.03214558184943782        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7908.854155363498     All      0.3260212252983102         -0.06727404676132309      0.1511062110399003         -0.12136603294695993       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4464.794350373428     All      -0.7829459566325936        0.6465614312064272        0.13394541919019842        0.47161495448471596        
Check         All|All|All                       All                   All      0.9917538163883617         0.9996046404205927        0.0017931616428130681      0.0026372922401616816      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4337.5743539853165    All      -0.0002230440392848013     0.00011842585948639446    -0.00016203225775727526    0.00010399722457929937     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5353.91540593563      All      2.3128055124204348e-05     7.973846010245523e-05     -0.0004647578778359123     -2.3001382036707192e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6380.790070120806     All      -2.5587542765156764e-05    8.686124153869503e-07     -2.8420752535733726e-05    7.349352470080845e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8245.150114350254     All      -4.879834447681658e-06     -7.544418284405599e-07    -1.347570016738822e-05     7.424174906543684e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6383.138913831969     All      -0.00024280779198873403    -4.197067965524121e-05    -0.0004767117389115478     4.414579938195791e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5399.755910566567     All      -5.287497718288396e-06     2.0019653027871686e-05    -0.0005309943846942868     -1.545246904135414e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7908.854155363498     All      1.7966790990766725e-05     1.2501609002804616e-05    9.09524515470495e-05       2.2786006104181352e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4464.794350373428     All      -0.0003714648510716141     0.00014521110258419872    -0.00045090034486648455    0.00014817674475866595     
MWEBV         All|All|All                       All                   All      -0.8430203055869505        -4.140262446460197        0.020383392409120682       -1.0731106241411066        
Redshift      All|All|All                       All                   All      3.949069089592183          -1.034586045154784        -2.3278381251143703        -1.727221158921054         
