#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5459.487829960308    All      3.4014520145310208       -0.11233883872172612       0.4636911955433476        -1.1238648727893512        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4559.067492413101    All      -2.403260027684044       1.1142803721769567         -0.4619592131826167       1.1251635138941312         
Check         All|All|All                            All                  All      0.9981919868469764       1.0019415334552306         0.0017319823607309104     0.0012986411047799518      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5459.487829960308    All      0.0001199520455686007    -5.717890320098219e-05     -0.0011098019889581175    -0.00010722274308040555    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4559.067492413101    All      -0.000135491063782214    -0.00020509625403359526    -0.0024809351232060167    -0.00013338544043342202    
MWEBV         All|All|All                            All                  All      -0.18223924954520365     -2.4998923101390957        -0.005139345127203043     -0.7551651957251854        
Redshift      All|All|All                            All                  All      -2.8037223790112895      1.05360198479314           -3.492761714963788        1.1005915338287917         
