#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5459.487829960308    All      3.4291511472644953         -0.12708268259071787       0.5327398166907253        -1.1346086237682684        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4559.067492413101    All      -2.431262042328071         1.1291391898184955         -0.5317195036535388       1.1360116156827467         
Check         All|All|All                            All                  All      0.9978891049364239         1.0020565072277776         0.0010203130371865266     0.0014029919144782355      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5459.487829960308    All      0.0004721778023257412      -2.2010028100981873e-05    -0.0007140951971908856    -0.00019284002359670177    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4559.067492413101    All      -0.00024063524514581636    -0.00011674209839712143    -0.002291044645049781     -6.188272626160426e-05     
MWEBV         All|All|All                            All                  All      -0.18438778353932284       -2.499540961243163         -0.005352677084276452     -0.7543604216496371        
Redshift      All|All|All                            All                  All      -2.6023963300968           0.812864073864894          -2.434146628638262        1.0038378878951961         
