#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6146.625004705722     All      1.2491986590429254         -0.014439423912548932      -0.1582918301243358       -0.4186723334470711       
Zeropoint     AB|SDSS|SDSS_z            7307.8247562163615    All      0.10712005759933252        -0.004916468112448058      0.0873425469043499        -0.03259628559800803      
Zeropoint     AB|SDSS|SDSS_r            5068.650799810814     All      0.675795430659613          0.5127800608752509         0.29828541723270713       -0.03978836078940758      
Zeropoint     AB|SDSS|SDSS_g            3878.96739963913      All      -1.0350877334082496        0.505085170545172          -0.22695565552223904      0.49155699646478007       
Check         All|All|All               All                   All      0.9970264138936213         0.9985093393954259         0.00038047849048220006    0.0005000166302933651     
Lambda        AB|SDSS|SDSS_i            6146.625004705722     All      -0.0001889255826935147     -3.5806240961404884e-05    -0.0005881988778124608    2.362739266182498e-05     
Lambda        AB|SDSS|SDSS_z            7307.8247562163615    All      -2.5082240221203208e-05    -2.3575281162616285e-08    -4.334127670874533e-05    6.228309456333055e-06     
Lambda        AB|SDSS|SDSS_r            5068.650799810814     All      -3.280076877391208e-05     -7.078082465163632e-05     -0.0017355044551627071    -8.981894665635672e-05    
Lambda        AB|SDSS|SDSS_g            3878.96739963913      All      -0.0013686661206833589     0.0005456542516577588      -0.0008996640619009641    0.0005834092494660214     
MWEBV         All|All|All               All                   All      -0.5514967587002961        -3.1593502062131407        0.05317523328412794       -0.8470906972485078       
Redshift      All|All|All               All                   All      6.5450376247291455         1.0903551162748215         6.3345033559346975        -1.4940897552740298       
