#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  SDSS
@BAND  SDSS_u
@MAGSYS  AB
53975.251856  -1.065  1.563  23.88354
53989.261847  0.1871  2.698  23.88354
53993.319716  0.1434  1.599  23.88354
53995.251378  1.833  1.335  23.88354
53996.258543  1.485  1.663  23.88354
53998.227399  0.6601  1.496  23.88354
54000.237012  2.269  1.999  23.88354
54005.257145  0.6659  1.484  23.88354
54007.287096  2.033  1.739  23.88354
54008.217604  0.8079  1.601  23.88354
54009.210618  1.287  1.742  23.88354
54010.212329  0.77  1.983  23.88354
54011.275069  6.126  2.365  23.88354
54012.204969  -2.771  3.02  23.88354
54019.224789  3.556  2.022  23.88354
54020.210616  0.215  1.648  23.88354
54022.259897  -0.8297  1.427  23.88354
54025.273288  -2.096  1.959  23.88354
54028.200446  0.4455  1.789  23.88354
54029.203498  -2.086  1.553  23.88354
54030.203401  0.4264  1.384  23.88354
54031.190422  0.9451  1.554  23.88354
54035.278753  3.876  2.611  23.88354
54036.194827  4.998  1.964  23.88354
54037.184155  -1.385  1.703  23.88354
54039.192494  2.99  3.179  23.88354
54040.198253  1.159  3.342  23.88354
54048.186291  4.039  2.108  23.88354
54050.182396  -0.3622  2.521  23.88354
54052.190197  2.099  1.897  23.88354
54053.188181  -0.3695  1.97  23.88354
54054.208705  7.478  2.562  23.88354
54055.185913  3.639  1.718  23.88354
54056.189503  7.079  2.923  23.88354
54058.184408  7.28  2.161  23.88354
54059.183474  1.199  1.896  23.88354
54060.205881  -4.571  1.815  23.88354
54061.194255  2.363  1.84  23.88354
54062.188043  2.262  2.302  23.88354
54063.174181  1.655  1.937  23.88354
54068.1775  4.231  6.121  23.88354
