#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6119.60477410433     All      1.1313217262834467         0.011433302392305222       -0.545086222952252        -0.3891091975360261        
Zeropoint     AB|PS|PS_z                8518.388209573155    All      0.43738072242104653        -0.12046441625308546       0.18059882295597182       -0.1736492182179687        
Zeropoint     AB|PS|PS_i                7412.1667452545      All      0.5310816560626166         -0.15759250984022088       0.2933133241107189        -0.21123460602595082       
Zeropoint     AB|PS|PS_g                4818.844020274428    All      -1.1000972745991349        1.2655134903856613         0.07355075175644002       0.77383948468255           
Check         All|All|All               All                  All      0.9996868301679749         0.9988898666846602         0.002376675870878836      -0.00015353709739551746    
Lambda        AB|PS|PS_r                6119.60477410433     All      -0.00025282029402719117    8.126724079898345e-07      -0.000763032644487357     4.856595900339188e-05      
Lambda        AB|PS|PS_z                8518.388209573155    All      0.0004951633548151565      -0.00012949767398728619    0.0002183565540185458     -0.00019372839768791594    
Lambda        AB|PS|PS_i                7412.1667452545      All      -9.099095634996704e-05     6.690083003274755e-06      -0.0004841785838037978    1.0211261684730127e-05     
Lambda        AB|PS|PS_g                4818.844020274428    All      -0.00048345630227840137    0.0002942668177235959      -0.0010116907232446556    0.00020818289606432558     
MWEBV         All|All|All               All                  All      -0.6744203502551267        -4.109691124681447         0.10153802879050568       -1.1144495324045673        
Redshift      All|All|All               All                  All      5.996030104405655          -0.35172697202332515       8.339630976159285         -1.6955138868713873        
