#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6119.60477410433     All      1.134425598838022          -0.007737379849892534      -0.4125147945105656       -0.3904486988716163        
Zeropoint     AB|PS|PS_z                8518.388209573155    All      0.42491748857546696        -0.12513874834576555       0.10657711806389969       -0.17441536538973235       
Zeropoint     AB|PS|PS_i                7412.1667452545      All      0.5479283921200919         -0.14656510165904635       0.3487247895086476        -0.21065739336040834       
Zeropoint     AB|PS|PS_g                4818.844020274428    All      -1.1095415559700057        1.2791816716344329         -0.04200354947783147      0.776211316392826          
Check         All|All|All               All                  All      0.9977299235635753         0.9997404417797284         0.0007835635841502153     0.0006898587710689741      
Lambda        AB|PS|PS_r                6119.60477410433     All      -0.00021857315875666966    5.760123109555016e-05      -0.0002638166421433538    7.818615956957015e-05      
Lambda        AB|PS|PS_z                8518.388209573155    All      0.0004529628886062567      -0.00016008689576226833    0.00016127205075744467    -0.00019249365257809615    
Lambda        AB|PS|PS_i                7412.1667452545      All      -2.7532948581057832e-05    -1.3931290807834352e-05    -0.000205498951942907     -4.739966984675824e-06     
Lambda        AB|PS|PS_g                4818.844020274428    All      -0.00039967003339222635    0.00022879157564469803     -0.000998549578960317     0.00016014994029946609     
MWEBV         All|All|All               All                  All      -0.6777514374324434        -4.113288890302158         0.08256552790473215       -1.1153830539240281        
Redshift      All|All|All               All                  All      6.092907202126621          -0.24240855344874745       6.80387480184268          -1.7599950839488343        
