#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7399.871678969016     All      0.2913306532712568         -0.04946793094742219       0.15821569424114834        -0.10394887104483441       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4658.976476484991     All      -0.353867514446236         0.34689699357768333        0.12920510578839917        0.23402788518466777        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6141.554071573071     All      0.5574166118814051         -0.07605846390736914       -0.0796221588328816        -0.20989684415272936       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5422.641085335006     All      0.24717867339364233        0.07747693652069287        -0.19777468982424828       -0.06410321478139136       
Zeropoint     AB|CNIa02|SDSS_r                      6102.10733132229      All      0.598733903955643          -0.04506960241030811       0.0517955156932981         -0.20739658655243298       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4327.08908435568      All      -0.2844804835327123        0.19049221521747484        -0.12795137075225504       0.1490043521032991         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709     All      -0.47455985848618215       0.36385220563834864        0.07649581136557337        0.2765120489516659         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7452.6312448085755    All      0.19185196567252133        -0.041757730142677474      0.03295701113135152        -0.07462364341700445       
Zeropoint     AB|CNIa02|SDSS_g                      4669.857195169485     All      -0.08491267245481635       0.07716744413528431        -0.03258642489973873       0.05134064377160796        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988     All      0.2501076435564611         0.14136045556032428        -0.10893841401697912       -0.04028395788809869       
Check         All|All|All                           All                   All      0.9387989228109828         0.9848925232420314         -0.09820392010633228       0.010631812174749511       
Lambda        AB|CNIa02|SDSS_i                      7399.871678969016     All      -7.401437083678633e-06     -3.467952062724883e-06     -6.0966763073260475e-05    -1.4394011466068193e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4658.976476484991     All      -0.00017195789867645943    9.773512083561094e-05      -0.0002339656359627041     7.740707732416285e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6141.554071573071     All      5.677804637083705e-05      6.431997166686409e-06      0.00010633523027004312     -1.1654111614708382e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5422.641085335006     All      4.2798074216280656e-05     2.807849854909456e-05      -0.0003551213571280518     -2.064208520968378e-05     
Lambda        AB|CNIa02|SDSS_r                      6102.10733132229      All      0.00020901425585939467     -2.5215855246009543e-05    2.3670072346892937e-05     -7.524016651266446e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4327.08908435568      All      -0.00019573949238602025    8.470172317291653e-05      -0.00031664993060573766    7.721829806708494e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709     All      -0.00022772466427846609    0.00010358867130824606     -0.000311356251839954      9.402525377349787e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7452.6312448085755    All      -4.140925424621118e-06     -8.310621993019052e-06     -9.657935656384626e-05     -5.6681004617735756e-06    
Lambda        AB|CNIa02|SDSS_g                      4669.857195169485     All      6.258211837948572e-06      8.975728561316038e-06      -2.9767980158046023e-05    -4.432236346204688e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988     All      7.443670731709727e-05      2.7716026270482805e-05     -0.00020482484021406455    -2.435885477392225e-05     
MWEBV         All|All|All                           All                   All      -0.8676440279786117        -4.050785781830424         0.04061114290467849        -1.035041702695072         
Redshift      All|All|All                           All                   All      3.852173916995532          -1.4588706727275635        3.2737796603999225         -1.5838882007323474        
