#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7399.871678969016     All      0.22663413509239497        -0.033034578232804535      0.09123648542937433        -0.080511177466246         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4658.976476484991     All      -0.33487937884601704       0.30126194073671897        0.07753052164665812        0.21067198731215903        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6141.554071573071     All      0.5728869837988817         -0.05489257690358684       -0.021294424816775303      -0.20543872863269275       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5422.641085335006     All      0.35399046282524516        0.07885582362909815        -0.016757821120398312      -0.09036822823766827       
Zeropoint     AB|CNIa02|SDSS_r                      6102.10733132229      All      0.6009458412346665         -0.0438483392218636        0.02105246705420445        -0.2090912027589916        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4327.08908435568      All      -0.3563292495919719        0.21593740796959082        -0.04132814212689917       0.18456179221178423        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709     All      -0.3818972024429921        0.23370371774298349        -0.056282515203687794      0.19800984221598383        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7452.6312448085755    All      0.19314669357846545        -0.03435071434392256       0.029966496615105698       -0.07276612308994089       
Zeropoint     AB|CNIa02|SDSS_g                      4669.857195169485     All      -0.2434105031041418        0.22130693086266362        -0.07553171327012147       0.14800312353381068        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988     All      0.36631840680762096        0.11130339516345344        -0.007802263254629561      -0.08341495821174326       
Check         All|All|All                           All                   All      0.997406189352152          0.996243007402331          0.0007890909528309974      -0.00034367312354499635    
Lambda        AB|CNIa02|SDSS_i                      7399.871678969016     All      -4.521869226523338e-05     -4.593777535791584e-06     -0.00014317705768695734    6.843536751247114e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4658.976476484991     All      -6.990512055066029e-05     -3.076357406857664e-05     -0.0004418772851853189     -6.9692643610114164e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6141.554071573071     All      -0.00011350510310454373    2.6681076567653725e-07     -0.00018291170968090222    2.889674581235722e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5422.641085335006     All      4.584371827312903e-05      -1.3390242701843583e-05    -0.0005615513209051044     -4.435390616904623e-05     
Lambda        AB|CNIa02|SDSS_r                      6102.10733132229      All      -4.571377399108152e-05     -1.2347594467045184e-05    -0.0001601927084163137     3.7197975475574456e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4327.08908435568      All      -0.0001360805242143398     4.671637251961036e-05      -0.00017872047264364433    5.1567489244876514e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709     All      -0.00012409844129802853    2.1368415443170855e-05     -0.0002846769835060366     3.467951465826462e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7452.6312448085755    All      -2.4011229312129077e-05    -7.931635507434394e-06     -0.0001614459346511345     -1.966937864010016e-06     
Lambda        AB|CNIa02|SDSS_g                      4669.857195169485     All      9.435274008073798e-06      -1.4572750728608124e-05    3.3273275979413514e-05     -6.335370008958394e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988     All      3.25287188700839e-05       -1.579778506084865e-05     -0.00031574092589396204    -2.9831599602086436e-05    
MWEBV         All|All|All                           All                   All      -0.88293576495921          -4.046420179318488         0.013477683590083316       -1.029849502184833         
Redshift      All|All|All                           All                   All      5.010155834543291          0.16502067551531496        3.6179917110757365         -1.4167655682770686        
