#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4923.649209612352    All      3.6021756358753376         0.3706286684836968        -1.7615741248519612       -1.1312321245916481       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4111.603460750333    All      -2.609438852408854         0.6304283598689508        1.741556725531268         1.1330490174839052        
Check         All|All|All                            All                  All      0.9927367834664835         1.0010570283526476        -0.02001739932069313      0.0018168928922570604     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4923.649209612352    All      -0.00044309877573952574    -5.256300496807616e-05    -0.000443579567263675     0.00010741542998577398    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4111.603460750333    All      -0.0005539677952646702     6.9217700873351e-05       -0.0012949039342207442    0.00014520640298038413    
MWEBV         All|All|All                            All                  All      -0.05631531799098699       -2.1120906918499216       0.02674657820236348       -0.6684400953241728       
Redshift      All|All|All                            All                  All      7.393138920735295          1.5489578212005028        31.159683876060473        -0.5131284718288297       
