#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.76833298655     All      -0.04888533932964245       0.8819179055343795        -0.5652935995746923       0.2779667823199639        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.694000661048    All      1.277486863487577          -0.11471657001163038      -0.05397484780476065      -0.4558951099832116       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7437.488182108163    All      0.6581584708694144         -0.2977183743891665       0.42162082996528955       -0.2925455347079271       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.814778591402    All      -0.8905987386246995        0.5261381595939696        0.2004809529104137        0.4704243611620182        
Check         All|All|All                                All                  All      0.9961612564026493         0.9956211207275523        0.0028333354962502832     -4.950120915658829e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.76833298655     All      -0.00020236283014571602    0.0003704222611463806     -0.0016055407764275283    0.00011492703743372156    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.694000661048    All      -0.00030919223296171255    7.095343154291358e-05     -0.0005458024497206302    9.946929279899016e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7437.488182108163    All      -0.0002758161291672592     9.354898456782609e-05     -0.0008001245075685478    8.460848736097532e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.814778591402    All      -0.000383167463264081      0.00015156871131316956    1.2088141711015112e-05    0.00017472060260314648    
MWEBV         All|All|All                                All                  All      -0.8250537188088618        -4.003499226129659        0.03890070480493986       -1.0335883096946321       
Redshift      All|All|All                                All                  All      8.856020552816604          -3.0016557622285944       8.971729265194869         -3.462068210330131        
