#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.76833298655     All      -0.012341490922491483      0.8097538097747048        -0.460614182080156        0.2472283901473013        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.694000661048    All      1.2976326238530154         -0.11290813702578006      -0.061157196551227255     -0.4621886960281152       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7437.488182108163    All      0.6885014443599692         -0.2878924087445611       0.37543451830576585       -0.3012896821161695       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.814778591402    All      -0.9783290511362663        0.5871194509373012        0.1509960583670228        0.5166563394364332        
Check         All|All|All                                All                  All      0.9954635261542266         0.9960727149416648        0.00465919804140541       0.00040635143944978136    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.76833298655     All      -0.000152415738700441      0.0002874210708120496     -0.001696365825304199     6.756830340254571e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.694000661048    All      -0.00037445413504309767    8.334582934676762e-05     -0.0006221646807325214    0.00012135615737117586    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7437.488182108163    All      -0.00029912752648225606    9.644241873415093e-05     -0.0008378981045636833    9.14586009417532e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.814778591402    All      -0.00037374748815075215    0.00014889937611058546    -7.274933238374995e-05    0.0001669968096823335     
MWEBV         All|All|All                                All                  All      -0.8299064863136469        -3.996426420152499        0.05079067645836002       -1.0291731632456211       
Redshift      All|All|All                                All                  All      8.935288767567428          -2.444482044505847        10.044608402122721        -3.2585209970626914       
