#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_R 6223.185244937877 All 0.1125509339025399 -1.0492929801707538 -3.112441015215551 -0.51734473392763
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_B 4230.436736187953 All -0.3097988888392784 0.16728524547591928 0.556201993832128 0.18022273858964144
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_I 8041.495797549548 All 1.8632926214852161 0.6207160865229229 5.9952637195915965 -0.1372069724359103
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_V 5221.674273987419 All 3.5441030864574854 2.4951170005305903 20.913692556773853 0.5915927668896167
Check All|All|All All All 5.210147753005963 2.2338253523586786 24.352717254982025 0.11726379911571783
